TL.x,TL.y,BR.x,BR.y,WORD
1571,487,2034,2034,SUPPLY LIST 
633,505,1555,1555,2017 - 2018 KINDERGARTEN 
824,589,1858,1858,* * * Please do not label supplies * * * 
1133,738,1703,1703,BOXES OF CRAYOLA CRAYONS 
462,773,638,638,CRAYOLA 
985,775,958,958,N N 
1252,786,1451,1451,( 48 COUNT ) 
2035,777,2229,2229,ELLES 
455,819,570,570,Crayons 
1135,878,1854,1854,BOXES OF SMALL CRAYOLA CRAYONS 
1311,917,1614,1614,( 16 OR 24 COUNT ) 
509,1009,620,620,Markers 
1135,1009,2080,2080,DRY ERASE THICK BLACK MARKERS - EXPO BRAND 
1128,1093,2095,2095,BOX THICK WASHABLE CRAYOLA COLOR MARKERS 
1372,1222,1855,1855,( MUST BE TICONDEROGA ) 
487,1238,452,452,O 
854,1232,1364,1364,2 packs of 2 FAT PENCILS 
465,1263,417,417,) ' ) 
524,1272,628,628,Pencils 
869,1277,1076,1076,Or l pack of 4 
965,1413,972,972,2 
1137,1408,1745,1745,GREEN PLASTIC POCKET FOLDER 
1134,1452,1641,1641,* * * WITH 3 - HOLE PRONGS * * * 
524,1496,638,638,Folders 
504,1650,623,623,Scissors 
1127,1666,2039,2039,PLASTIC FISKARS BRAND BLUNT EDGE SCISSORS 
1127,1814,1512,1512,LARGE GLUE STICKS 
486,1869,549,549,Glue 
1127,1906,1713,1713,BOTTLE OF ELMER ' S GLUE , 4 oz 
1130,2058,2256,2256,GENTLY USED BEACH TOWEL FOR REST TIME * Please Label 
482,2146,594,594,Towel * 
1123,2230,1425,1425,BOX OF TISSUES 
468,2304,581,581,Tissues 
1127,2428,1591,1591,ROLL OF PAPER TOWELS 
478,2440,693,693,Paper Towels 
1476,2602,2330,2330,3 RING BINDER WITH CLEAR SLEEVE COVER 
475,2612,703,703,3 Ring Binder 
1124,2605,1458,1458,2 INCH ECONOMY 
816,2902,1880,1880,* OPTIONAL CLASSROOM WISHLIST ITEMS * 
1472,3024,2418,2418,WIPES , HIGHLIGHTERS , INDEX CARDS , 
286,3035,1436,1436,COLORED WHITEBOARD MARKERS , CHLOROX 
1086,3093,1599,1599,SHEET PROTECTORS 
