TL.x,TL.y,BR.x,BR.y,WORD
670,1357,2070,2070,2017 - 2018 SCHOOL SUPPLY 
726,1475,1981,1981,For 3rd GRADE SUPPLIES 
84,1688,1349,1349,( A ) 2 Highlighters ( different colors ) 
227,1773,2235,2235,3 sturdy folders with horizontal pockets inside ( no brads ) 
233,1861,1093,1093,4 # 2 Ticonderoga Pencils 
211,1955,595,595,11 " Binder 
214,2037,2615,2615,1 Pack of wide - ruled loose - leaf paper ( go ahead and put it in binder ) 
221,2136,1529,1529,3 Marble front composition notebooks 
218,2225,801,801,1 Pair of scissors 
212,2304,865,865,1 Red checking pen 
214,2392,1761,1761,1 Pack of 4 Expo Markers ( Chisel Dry Erase ) 
216,2490,1967,1967,1 pair of inexpensive earbuds to be kept at school 
212,2584,1168,1168,1 Box of 24 Crayola crayons 
195,2665,1667,1667,14 oz . bottle of white Elmer ' s school glue 
204,2768,824,824,1 Large glue stick 
197,2848,1142,1142,1 Box of broad tip markers 
203,2949,1027,1027,1 Box of colored pencils 
196,3037,1308,1308,1 pack of white computer paper 
200,3128,1013,1013,1 Large box of Kleenex 
193,3224,1377,1377,1 container of Clorox / Lysol wipes 
