TL.x,TL.y,BR.x,BR.y,WORD
1297,1217,2229,2229,Ann Smith Elementary 
1266,1408,2267,2267,First Grade Supply List 2017 - 2018 
426,1580,1612,1612,4 boxes of 24 count Crayola crayons ( basic colors ) 
428,1659,1992,1992,1 box thin lined magic markers ( Crayola classic colors ) - ONLY GIRLS 
429,1731,1876,1876,1 box wide magic markers ( Crayola classic colors ) - ONLY BOYS 
425,1812,989,989,1 pack of colored pencils 
429,1888,1007,1007,1 set of watercolor paint 
423,1963,2114,2114,4 packs of 24 Ticonderoga or American Standard no . 2 pencils ( no Dixon ) 
421,2043,1069,1069,1 handheld pencil sharpener 
423,2115,824,824,1 pair of scissors 
421,2187,2462,2462,4 colored heavy duty plastic folders with bottom pockets and brads : 2 green and 2 blue 
421,2268,952,952,1 pack of Expo markers 
417,2347,1366,1366,1 wide - ruled spiral notebook - one subject 
416,2419,1277,1277,1 box gallon Ziploc bags - ONLY GIRLS 
413,2507,1364,1364,1 box quart size Ziploc bags - ONLY BOYS 
413,2595,890,890,18 Elmer glue sticks 
411,2683,838,838,1 bottle liquid glue 
408,2764,1225,1225,1 pack of wide - rule notebook paper 
412,2859,666,666,1 can Lysol 
401,2928,659,659,1 backpack 
1518,3093,1992,1992,Supply Fee : $ 30 . 00 
1438,3157,2077,2077,( We cannot accept checks ) 
417,3220,2615,2615,Supply fee is for t - shirts , art projects , and other consumables , such as workbooks that aren 
1384,3370,2123,2123,PTO Activity / Party Fee : $ 5 . 00 
1444,3451,2077,2077,( We cannot accept checks ) 
