TL.x,TL.y,BR.x,BR.y,WORD
-26,315,982,982,upply lists please post - Outlook 
542,659,1476,1476,2 roll of paper towels 
557,822,1312,1312,2 boxes of tissues 
564,988,1810,1810,1 antibacterial hand sanitizer 
649,1146,1604,1604,antibacterial hand soap 
575,1148,1809,1809,1 container disinfecting wipes 
575,1302,1394,1394,1 1 pack of hand wipes 
599,1762,2378,2378,Wish list for extra materials for classrcem 
604,1919,1523,1523,First aid kit / band aids 
607,2066,1327,1327,Electric sharpener 
602,2216,1323,1323,Ream of copy paper 
606,2376,1396,1396,Construction paper - 
600,2534,1048,1048,Lined paper 
612,2696,1172,1172,3 hole puncher 
