TL.x,TL.y,BR.x,BR.y,WORD
732,1,1051,1051,A 50 % I 12 : 38 PM 
827,70,945,945,: 70 % 
35,83,621,621,c0000 MetroPCS LTF 9 : 35 PM 
90,163,982,982,eastwindsorregionalschools . com C 
349,333,540,540,DISTRICT 
17,343,166,166,ON • . . 
279,333,323,323,OL 
556,333,827,827,SUFLY LIST 
60,370,323,323,( 1 of 1 3 - 5 
35,478,763,763,students provide the following Supplies : 
311,567,472,472,4 Grado 
24,614,129,129,please ) 
310,612,447,447,Backpack 
15,654,63,63,led 
310,652,742,742,7 - Marble Composition books 
377,691,667,667,minimum 100 pages 
312,732,768,768,6 - Pocket folders ( no fasteners ) 
311,770,538,538,Colored pencils 
15,813,68,68,ned 
316,810,430,430,Crayons 
312,850,584,584,Dry Erase markers 
322,892,482,482,Highlighters 
314,934,592,592,5 - Large glue sticks 
311,969,832,832,Pencils ( replenished when needed ) 
23,1018,129,129,please ) 
323,1010,577,577,Markers ( optional ) 
15,1058,72,72,bied 
309,1049,671,671,Large pencil poucícase 
311,1129,471,471,50 Grade 
314,1178,451,451,Backpack 
313,1214,734,734,5 - Marble Composition books 
361,1252,688,688,( minimum 100 pages ) 
311,1292,751,751,3 - Spiral notebooks wide ruled 
365,1334,496,496,1 subject 
313,1372,545,545,6 - Pocket folders 
315,1410,590,590,5 - Large glue sticks 
313,1452,835,835,Pens Pencils ( replenished when needed ) 
312,1531,539,539,Colored pencils 
21,1544,76,76,om ) 
314,1570,586,586,Dry Erase markers 
325,1606,576,576,Markers ( optional ) 
319,1648,480,480,Highlighters 
307,1680,670,670,Large pencil poucícase 
