TL.x,TL.y,BR.x,BR.y,WORD
2080,22,2205,2205,- - - - 
1282,46,2992,2992,If you prefer , items can be ordered and paid for on - 1 
2312,112,2983,2983,until June 16 , 2017 . 
1453,119,2280,2280,at 1 \ \ 11 \ sinyptbilson 
808,174,833,833,1 
291,185,772,772,GRADE 
1695,198,2737,2737,IHM Account Number is 6606 
2148,279,2529,2529,- - - - - - - - - - - - - - - - - 
794,705,942,942,Item 
372,715,643,643,Quantity 
965,710,1353,1353,Description 
499,833,673,673,1 RI 
792,825,1359,1359,Paper Towels , Roll 
494,930,671,671,1 Bx 
794,927,2175,2175,Storage Bags , Economy Zip , Sandwich , 50 Ct 
600,1026,675,675,Ea 
790,1023,1315,1315,Eartbuds wtease 
2046,1098,2298,2298,. 10 ' x 6 " 
487,1110,676,676,1 Ea 
783,1118,2030,2030,Pencil Case , Fabric . 3 - Hole wiGrommets 
477,1210,2052,2052,2 DzpenCTIS , # 2 . TIconderoga . Snarpened . Br 
462,1305,661,661,2 Ea 
777,1302,1382,1382,Eraser , Pink . Large 
781,1401,1467,1467,Scissors , 5 " . Blunt Tip 
449,1505,647,647,2 Bx 
1376,1497,1893,1893,Luck Bex , 2418o 
778,1508,1323,1323,Crayans , Crayola 
447,1609,650,650,1 Ea 
777,1606,1584,1584,Clip , Binder , 1 - 1 / 4 " . Each 
437,1713,644,644,1 Ea 
758,1711,1822,1822,Folder . 2 Pocket . W / Prong , 11 Pt 
1003,1820,1947,1947,, Poly . 2 Pocket , 2PK , Be / Rd 
433,1830,634,634,1 PK 
757,1826,1004,1004,Folders 
597,1878,637,637,X 
1492,1926,1750,1750,. Yellow 
426,1944,630,630,1 Ea 
743,1941,1494,1494,Folder , Poly . 2 Pocket 
593,1993,633,633,W 
1466,2034,1557,1557,Pt . 
963,2046,1427,1427,, 2 Pocket , 14 
412,2058,624,624,1 Ea 
751,2051,969,969,Folder 
590,2104,630,630,W 
2011,2144,2500,2500,, White , . 26 oz 
1714,2152,2005,2005,Washable 
349,2174,611,611,30 ta 
769,2167,1125,1125,Glue Stick , 
1471,2277,1899,1899,. Stretchable 
398,2297,610,610,1 Ea 
748,2293,1468,1468,Book Covers , Jumbo 
2067,2371,2692,2692,, 100 Sheets , BLK 
1702,2382,2059,2059,Cover , WR 
1209,2398,1665,1665,Book , Marble 
386,2418,606,606,1 Ea 
744,2412,1185,1185,Composition 
366,2472,434,434,- 
2000,2502,2393,2393,Odor , Black 
1688,2511,1977,1977,Tip . Low 
1385,2521,1655,1655,, Chisel 
976,2533,1383,1383,. Dry Erase 
372,2544,399,399,4 
505,2543,590,590,Ea 
757,2539,989,989,Marker 
356,2601,424,424,A 
2016,2628,2286,2286,, 15 Ct . 
1632,2639,2013,2013,Zip , Gallon 
1041,2658,1601,1601,Bags , Economy 
503,2673,596,596,Вх 
741,2668,1010,1010,Storage 
347,2729,415,415,- 
1562,2771,2178,2178,, Gel , Pump . 8 oz 
1044,2785,1562,1562,Hand Sanitizer 
358,2808,383,383,1 
484,2807,577,577,Ea 
1996,2882,2424,2424,. Tub , 80 Ct 
1521,2896,1989,1989,Soft Scented 
946,2914,1469,1469,. Baby wiAloe 
342,2933,569,569,1 Bx 
764,2920,953,953,Wipes 
