TL.x,TL.y,BR.x,BR.y,WORD
-5,51,729,729,- • • • • • • • • • • • • • • 
30,84,709,709,* * * * * * * * * * * * * 
162,136,547,547,Cordello Elementary School 
95,194,610,610,Grade 1 Supply list for 2016 - 2017 
1,317,293,293,• Backpack without wheels 
0,350,455,455,• 1 standard supply box ( must fit in desk ) 
2,386,365,365,• 2 - 24 pack of croyons ( Crayola ) 
0,420,437,437,• 1 . 24 pock of colored pencils ( Croyola ) 
4,457,245,245,• 6 dry erase markers 
4,491,444,444,• 1 pair of scissors ( Fiskors or Wescot ) 
4,525,367,367,• 2 plastic bottom pocket folders 
1,559,294,294,• 1 pack of 3 large eurosers 
1,593,366,366,• 4 marble composition notebooks 
1,627,537,537,• 3 boxes of sharpened # 2 pencils ( Ticonderogo ) 
2,662,463,463,• 3 packs of 3x5 white unlined index cards 
1,697,172,172,• 12 glue sticks 
0,731,301,301,• 2 container of baby wipes 
1,764,733,733,• 1 set of headphones ( NO carbuda ) Can be purchased at your local 
35,802,150,150,dollar store 
0,834,652,652,• 1 box of Zoploc bogs with slide slipper opening ( gallon size ) 
28,915,617,617,Yr des toucher My punt additional has in the ful . 
-31,1200,196,196,- . . . . 
322,1200,714,714,. . . . . . . . . . 
