TL.x,TL.y,BR.x,BR.y,WORD
1766,811,2608,2608,' s Kindergart 
763,837,1785,1785,Mrs . Cunningham 
405,1161,956,956,1 backpack 
1922,1241,2306,2306,markers 
998,1260,1839,1839,Crayola washable 
388,1273,929,929,2 boxes of 
1414,1381,1798,1798,crayons 
831,1400,1360,1360,of Crayola 
376,1415,777,777,2 boxes 
376,1561,1426,1426,6 Elmer ' s glue sticks 
466,1702,1553,1553,rolls of paper towels 
356,1705,401,401,2 
1059,1833,2496,2496,white binder w / clear cover 
346,1841,1802,1802,linch 3 - ring of Play Dough 
338,2006,991,991,2 containers 
310,2150,2370,2370,1 pkg . baby wipes antibacterial wipes 
304,2318,1263,1263,Boys - 1 container 
321,2470,1550,1550,Girls - 1 box of tissues 
52,2826,2633,2633,You do not need to write your child ' s name on supplies o 
2154,2978,2653,2653,year . That 
1809,2985,2088,2088,school 
