TL.x,TL.y,BR.x,BR.y,WORD
674,221,2359,2359,Welcome to the Exciting World of Third Grade ! 
544,316,2458,2458,2017 - 2018 Schoolkidz School Pack for Third Grade Includes : 
310,403,1460,1460,1 pack of construction paper ( 9 " x 12 " ) 
310,500,1439,1439,1 bottle of ELMER ' S glue ( 4 ounces ) 
313,591,1247,1247,1 Ruler , 12 " , Plastic , Inch & Cm 
318,692,2394,2394,3 Large ELMER ' S glue sticks - ( . 77 ounces ) ( other brands don ' t work ) 
314,787,1929,1929,1 vinyl pencil case bag - ( NOTa box - won ' t fit in desk ) . 
317,871,869,869,1 pencil sharpener 
1267,953,1854,1854,pencils - Ticonderoga 
317,963,1239,1239,5 boxes of 12 ( # 2 ) sharpened 
317,1052,786,786,2 large erasers 
317,1144,1509,1509,1 box of 12 colored pencils ( wide type ) 
320,1232,1541,1541,1 box of 8 colored markers & one orange ) 
320,1324,1125,1125,2 highlighters ( one yellow 
994,1405,1474,1474,pointed scissors 
325,1420,966,966,1 pair of child - sized 
1131,1492,1795,1795,composition notebooks 
329,1511,1103,1103,6 Black and white marble 
997,1595,2045,2045,Brand Post - Its - 3 " x 3 " with lines 
329,1612,958,958,3 packs of Post - It 
325,1711,940,940,1 box of 24 crayons 
1387,1781,1937,1937,brands don ' t work ) 
1006,1791,1357,1357,Tape ( other 
338,1807,977,977,4 rolls of SCOTCH 
1412,1875,2265,2265,, green , black , purple , yellow 
1002,1887,1407,1407,, blue , orange 
338,1906,1008,1008,7 pocket folders : red 
1205,1974,1404,1404,marker 
333,2003,1162,1162,1 black Sharpie permanent 
338,2088,951,951,1 Red Ball Point pen 
3019,2150,2969,2969,A 
338,2184,967,967,1 Blue Ball Point pen 
3021,2191,2974,2974,VAR 
1023,2261,1048,1048,. 
334,2275,1020,1020,1 Green Ball Point pen 
714,2361,1000,1000,( 9 " x 12 " ) 
337,2374,700,700,1 Clipboard 
2189,2406,2479,2479,, one red ) 
2033,2412,2192,2192,black 
1694,2424,2003,2003,green , one 
1573,2430,1668,1668,one 
1271,2441,1563,1563,one blue , 
997,2451,1279,1279,Markers ( 
644,2466,944,944,Dry Erase 
339,2477,611,611,4 EXPO 
2476,2494,2678,2678,Packs : 
2167,2508,2453,2453,to School 
1983,2516,2134,2134,Back 
1636,2531,1946,1946,Schoolkidz 
1245,2548,1595,1595,NOT in the 
1024,2558,1190,1190,items 
722,2571,992,992,required 
510,2581,693,693,Other 
3039,2602,2991,2991,Twr 
2216,2713,2515,2515,Girls Only : 
590,2738,614,614,: 
167,2757,591,591,ALL Students 
1265,2751,1573,1573,Boys Only : 
2256,2788,2828,2828,Box of SANDWICH 
2207,2791,2233,2233,1 
1775,2809,1943,1943,- sized 
169,2831,618,618,1 Box of tissues 
1260,2832,1788,1788,1 Box of GALLON 
2360,2867,2783,2783,Ziploc type bags 
2207,2873,2341,2341,sized 
610,2902,787,787,towels 
1588,2905,1699,1699,bags 
367,2916,595,595,of paper 
177,2927,346,346,1 Roll 
1271,2918,1562,1562,Ziploc type 
609,2975,753,753,wipes 
174,2994,780,780,1 Box of baby Soap 
179,3071,634,634,1 Anti - Bacterial 
995,3117,1109,1109,class 
770,3128,963,963,for our 
182,3159,1034,1034,$ 7 . 00 in an envelope child ’ s 
570,3221,832,832,write your 
351,3234,527,527,please 
175,3245,349,349,fund - ( 
2538,3240,2708,2708,other 
2169,3259,2520,2520,may request 
771,3288,980,980," on the 
628,3295,764,764,Fund 
1546,3293,2127,2127,note : Your teacher 
1328,3303,1523,1523,Please 
190,3319,609,609,name & “ Class 
2666,3330,2761,2761,may 
2093,3360,2622,2622,and some supplies 
1632,3384,2065,2065,in September 
432,3398,454,454,) 
1356,3398,1620,1620,materials 
175,3415,438,438,envelope 
2425,3438,2718,2718,the year . 
2068,3458,2406,2406,throughout 
439,3470,462,462,o 
183,3481,392,392,1 Smile 
1587,3484,2052,2052,be replenished 
1338,3498,1560,1560,need to 
1913,3659,2195,2195,Teachers 
1699,3670,1873,1873,Grade 
1357,3689,1671,1671,The Third 
1110,3702,1305,1305,XOXO 
54,3891,2962,2962,ttppadogandapppopnppooooooo 
