TL.x,TL.y,BR.x,BR.y,WORD
1151,917,1194,1194,7th 
1341,908,1557,1557,Supply List 
1216,914,1326,1326,grade 
1775,958,1927,1927,journal , 
1639,968,1761,1761,, math 
1375,984,1644,1644,, lab notebook 
1224,994,1378,1378,, Library 
1063,1004,1222,1222,( Spanish 
664,1029,1048,1048,6 marble notebooks 
1299,1054,1315,1315,) 
1007,1073,1299,1299,writers notebook 
812,1085,986,986,notebook , 
658,1096,794,794,readers 
664,1152,1011,1011,5 subject dividers 
664,1212,880,880,1 2 " binder 
1446,1233,1595,1595,subject ) 
1188,1248,1430,1430,for each core 
1126,1251,1174,1174,, 1 
664,1277,1126,1126,5 folders ( 1 for handouts 
1697,1290,1884,1884,possible ) 
1648,1293,1684,1684,if 
1187,1315,1640,1640,loose leaf ( reinforced 
920,1329,1179,1179,college ruled 
697,1340,904,904,packets of 
663,1342,1141,1141,5 1 box of reinforcements 
659,1468,1020,1020,2 boxes of pencils 
659,1531,984,984,black / blue pens 
660,1599,1257,1257,1 pencil sharper case of any kind 
659,1662,904,904,1 soft pencil 
655,1731,923,923,1 highlighter 
657,1799,1146,1146,1 box of colored pencils 
656,1865,831,831,1 scissor 
655,1932,794,794,1 ruler 
655,2005,1113,1113,1 pack of graph paper 
655,2073,1187,1187,1 pack of 3x5 index cards 
978,2137,1532,1532,( Can be purchased at PS 83 ) 
653,2145,965,965,1 daily planner 
651,2215,1369,1369,1 reame of white computer paper 
649,2282,1031,1031,2 boxes of tissues 
645,2350,1120,1120,2 rolls of paper towels 
634,2427,1236,1236,a containers of Lysol Wipes 
644,2503,1196,1196,1 bottle of hand sanitizer 
645,2569,1134,1134,NYC public library card 
647,2655,912,912,1 flash drive 
642,2731,1386,1386,1 inexpensive pair of headphones 
644,2835,891,891,Art Supplies : 
763,2887,1029,1029,Sketch book 
640,2991,2180,2180,* * More notebooks will need to be purchased throughout the course of the 
633,3042,1854,1854,year as students run out of pages . Please plan accordingly . 
