TL.x,TL.y,BR.x,BR.y,WORD
492,34,514,514,. . . 
738,364,1228,1228,School 
1387,393,1582,1582,List 
1758,409,2087,2087,ao17 
686,737,1369,1369,Penul Case 
1688,762,2525,2525,Uso flash drive 
278,914,313,313,. - - 
1886,961,2622,2622,post - it notes 
278,975,313,313,. - 
671,1021,931,931,BP 
278,1047,313,313,. 
1054,1041,1389,1389,colored 
1497,1065,1671,1671,pens 
278,1090,313,313,- 
688,1310,1032,1032,Pencils 
1365,1343,1923,1923,mechanical 
2041,1377,2445,2445,pernas 
693,1617,1488,1488,pentel eruscs 
1784,1635,2125,2125,index 
2239,1643,2507,2507,Cards 
1392,1788,1962,1962,highlighters 
548,1902,846,846,linch 
975,1911,1299,1299,Binder 
1583,2061,2211,2211,1 - 5 Subject 
2320,2093,2733,2733,NOTEpok 
2042,2127,2234,2234,jut 
2335,2141,2744,2744,NOTEBOOK 
729,2180,1065,1065,folders 
2868,2591,3022,3022,. . Xin - 
2897,2706,2984,2984,. * RE : 
2866,2737,3014,3014,frr : LS 
