TL.x,TL.y,BR.x,BR.y,WORD
16,8,207,207,000 . O AT & T 
557,10,699,699,3 : 41 PM 
1034,3,1208,1208,* 14 % ) 
1021,81,1156,1156,Q E 
557,100,683,683,Orders 
22,229,183,183,28 Items 
1062,234,1214,1214,Reorder 
334,414,1089,1089,Staples® Composition Notebook , Wide 
338,464,901,901,Ruled , Black , 9 - 3 / 4 " x 7 - 1 / 2 " 
339,553,509,509,Quantity : 1 
341,604,939,939,Order # 9759122400 ( Shipment 1 of 2 ) 
337,744,1109,1109,Elmer ' s All Purpose School Glue Sticks , 
350,799,706,706,Washable , 30 Pack 
339,886,510,510,Quantity : 1 
341,936,939,939,Order # 9759122400 ( Shipment 1 of 2 ) 
89,1074,276,276,: E - I 
63,1075,87,87,10 
342,1079,1164,1164,Crayola® Ultra - Clean Markers , Broad Line , 
117,1122,487,487,Crayola , 10 / Pack 
68,1148,217,217,C . i II 
114,1183,226,226,mru 
108,1203,513,513,MASHABLE Quantity : 2 
340,1272,938,938,Order # 9759122400 ( Shipment 1 of 2 ) 
339,1409,1207,1207,Staples Composition Notebook , Wide Ruled , 
343,1457,1140,1140,Blue , 9 - 3 / 4 " x 7 - 1 / 2 " , Each ( 27621M - CC ) 
341,1546,510,510,Quantity : 1 
338,1600,940,940,Order # 9759122400 ( Shipment 1 of 2 ) 
337,1735,1076,1076,Staples Wide Rule Composition Book , 
72,1783,95,95,» 
337,1787,1206,1206,Assorted Colors , 9 - 3 / 4 " x 7 - 1 / 2 " , Each ( 20 . . . 
187,1866,511,511,' : Quantity : 1 
72,1904,95,95,stemt 
340,1928,939,939,Order # 9759122400 ( Shipment 1 of 2 ) 
37,2076,478,478,Delivered on 16th August 2017 
1057,2082,1190,1190,Reorder 
