TL.x,TL.y,BR.x,BR.y,WORD
129,123,119,119,' . 
327,190,229,229,rali bulmarkri par i | 
394,208,476,476,In Fax lrs portul pakar • 
143,230,126,126,. 
270,221,250,250,: hu 
373,208,356,356,cual 
568,203,719,719,hetett 24 ndhut Is nun ' fram pertok laan Heul 
143,226,187,187,. et 
330,232,381,381,. Itkolan 
513,232,535,535,. Inhal 
652,221,593,593,par of 
184,243,360,360,fhirununur qui utatus od Ji Irrat 
140,257,123,123,. 
415,251,478,478,. . lar glee 
272,264,254,254,pril 
611,255,788,788,solmun lel yumruler datn ni FIRST 
455,270,497,497,Carbor . I . 
631,261,614,614,- 
736,259,719,719,ar 
209,286,194,194,suit 
417,278,402,402,nd 
533,282,614,614,' . * . - ul 
334,295,320,320,dan 
436,288,553,553,Muttet damittuntur ' wl th , * 
694,284,720,720,. : e 
419,308,403,403,Inde 
135,321,118,118,. 
251,316,234,234,• 
377,325,360,360,. 
497,318,553,553,. , . . . n g * 
737,304,721,721,um 
593,314,576,576,unil 
378,329,385,385,. untitet 
654,323,699,699,sl part Sw - 
133,343,117,117,* . 
438,338,423,423,. 
535,336,596,596,. l . quart 
814,321,788,788,GRADE 
133,348,201,201,. Ilometrl 
594,346,577,577,. 
717,337,767,767,kot persona 2017 
303,357,637,637,11 Un . . 1ir . " " Is . 
304,380,406,406,IHMINI . Iruit d . r . 
655,377,700,700,. a . unlal . t 
537,375,579,579,- - URI 
197,396,178,178,. 
481,390,427,427,smatite pl 
538,397,599,599,1 n Iar . tipkn 
788,399,788,788,2018 SUPPLY 
538,415,580,580,. : 
343,432,387,387,fanfrr 1 
539,432,522,522,nu . 
635,421,722,722,. - - 11 deln 
556,448,542,542,. . 
697,435,680,680,let 
12,458,-13,-13,· 
406,451,287,287,m rri 
616,455,599,599,ha 
407,471,390,390,ne 
557,465,544,544,hic 
720,460,723,723,utang . 
23,488,15,15,Car 
309,492,392,392,II : trebet 
559,492,545,545,et 
814,488,788,788,LIST 
348,503,333,333,l 
484,495,545,545,ut . Imprit I 
721,521,703,703,Nur 
410,533,470,470,) la 
721,559,706,706,. hde . Err . 
