TL.x,TL.y,BR.x,BR.y,WORD
944,-37,1030,1030,Tiu 
1133,-26,1573,1573,listed , below 
351,0,505,505,start 
1564,1,1631,1631,, a 
542,14,604,604,of 
1668,7,1753,1753,list 
634,21,735,735,our 
1795,15,2026,2026,of items 
782,32,921,921,new 
2053,29,2179,2179,that 
943,44,1166,1166,school 
2234,40,2517,2517,we would 
1194,62,1328,1328,year 
2543,58,2607,2607,lik 
1339,73,1553,1553,. Have 
364,101,563,563,READ 
1588,92,1958,1958,a wonderful 
574,114,597,597,! 
1988,121,2587,2587,summer and dont 
370,343,702,702,Sincerely , 
401,454,1182,1182,The Fifth Grade Team 
1372,864,2131,2131,5th Grade Supply List 
968,971,1038,1038,( 2 - 
615,1028,898,898,- Folders 
1104,1033,1115,1115,an 
927,1043,1392,1392,( 2 - any style ) 
623,1137,998,998,- Notebooks 
1320,1133,1375,1375,style 
1036,1156,1573,1573,( 6 - any style ) . color 
621,1249,1798,1798,- Highlighters ( 2 - different colors ) eencils 
603,1352,1833,1833,- - Crayons , Markers or Colored Pencils 
622,1453,929,929,- Scissors 
621,1553,1215,1215,- Post Its ( 2 packs ) 
618,1649,1246,1246,- Pencils ( box of 12 ) 
619,1745,1200,1200,- Pens ( colored - 2 ) 
614,1841,1291,1291,- Pens ( blue or black ) 
