TL.x,TL.y,BR.x,BR.y,WORD
671,-39,1513,1513,JULES ISSues ( optional 
2022,-24,2396,2396,MU JINDIE 
1521,-8,1545,1545,) 
2410,-9,2421,2421,. 
275,45,1350,1350,GRADE 1 boxes of 12 pencils 
268,230,340,340,Un 
1380,224,2197,2197,( yellow # 2 , sharpened ) 
675,306,1407,1407,erasers ( plank - pink ) . 
272,345,345,345,P 
681,406,1251,1251,packages of low 
276,450,349,349,w 
1263,442,2466,2466,odor , dry - erase markers ( w / eraser 
673,521,866,866,boxes 
2470,517,2488,2488,) 
908,527,1597,1597,of crayons ( 24 pack ) 
281,570,354,354,P 
671,631,2037,2037,glue sticks - ( Yes , we really use them all ! ) 
679,735,1641,1641,pair pointed scissors ( metal ) 
700,829,1743,1743,marble / composition notebooks 
662,923,1972,1972,folders , plastic , 3 - prong with 2 pockets 
670,1019,2451,2451,pair headphones , labeled , in gallon bag ( no earbuds ) 
1463,1105,1493,1493,) 
1137,1115,1463,1463,( optional 
674,1128,1121,1121,boxes tissues 
2070,1212,2743,2743,plastic sealable bags 
678,1230,2033,2033,box of each quart , gallon and sandwich 
669,1341,1002,1002,( optional ) 
683,1445,980,980,book bag 
674,1552,1022,1022,pencil box 
1443,1648,1946,1946,( post - its , 3x3 ) 
671,1669,733,733,3 - 
924,1662,1431,1431,of sticky notes 
744,1667,887,887,pack 
