TL.x,TL.y,BR.x,BR.y,WORD
2014,137,2399,2399,AMS 
2504,164,2560,2560,S 
1404,363,2005,2005,Grade Six 
814,505,1773,1773,Tissues : 2 boxes ( homeroom ) 
755,636,1912,1912,| Pens : 1 pack of red ; 1 pack of blue 
797,769,2231,2231,Pencils : # 2 , 24 - count ; scissors ( blunt - ended ) 
797,905,1745,1745,Colored pencils ( 2 sets of 12 ) 
790,1038,2332,2332,8 Highlighter markers ( yellow and multi - colored ) 
747,1165,2554,2554,| Index cards : 3 separate packs 3 " x5 " - 100 count per pk 
730,1294,1943,1943,| Large pencil bag / pouch ( Art class ) 
764,1429,1678,1678,Loose - leaf , wide - rule paper 
774,1566,1711,1711,1 black Sharpie - type marker 
763,1697,1802,1802,Book bag ( no wheels or straps ) 
762,1830,2028,2028,1 folder for and binder for organization 
715,1968,2281,2281,| 1 4 - pack assorted low - odor dry erase markers 
753,2113,2394,2394,3 1 - subject spiral - bd . plastic notebook 100 pages 
745,2249,1635,1635,5 folders ( 3 - hole punched ) 
698,2385,2447,2447,| 1 1 1 / 2 " white 3 - ring binder with 4 dividers ( Health ) 
744,2516,2166,2166,1 yellow spiral notebook 1 - subject ( Health ) 
697,2662,2232,2232,| 1 green spiral notebook w / plastic cover ( Sci ) 
692,2792,1552,1552,| 1 binder for organization 
720,2933,1343,1343,4 dividers ( Health ) 
667,3096,962,962,| scissors 
687,3225,1147,1147,10 glue sticks 
711,3371,2523,2523,earbuds ( inexpensive - please note " Additional items 
