TL.x,TL.y,BR.x,BR.y,WORD
25,8,225,225,O Search = 
550,8,709,709,11 : 36 AM 
989,2,1211,1211,1 * 10 % LI 
429,86,809,809,mcpasd . k12 . wi . us 
540,425,696,696,Sauk Trail 
429,468,811,811,Third Grade Supply List 
541,512,696,696,2017 - 2018 
177,680,427,427,24 - # 2 pencils 
181,733,513,513,1 eraser – large size 
180,778,679,679,1 small pencil box ( 8 x 5 x 2 ) 
183,836,542,542,1 box colored pencils 
184,884,763,763,1 box washable markers – 8 count 
180,932,862,862,4 pack Expo low odor dry erase markers 
180,984,526,526,2 fine black sharpies 
180,1035,503,503,2 yellow Highliters 
181,1089,639,639,3 pads of 3 x 3 sticky notes 
181,1141,471,471,1 large glue stick 
185,1184,686,686,1 kid scissors , 5 ” precision tip 
179,1240,1031,1031,2 wide - rule 70 page spiral notebooks - 1 red / 1blue 
184,1288,1028,1028,2 composition notebooks ( black and white cover ) 
183,1342,728,728,1 large box of tissues , 240 count 
184,1392,1043,1043,1 set of headphones ( no ear buds ) for computer lab 
180,1440,669,669,2 canisters bleach free wipes 
185,1488,1021,1021,5 folders , no holes or fasteners : blue , red , yellow , 
178,1543,399,399,green , purple 
577,2055,619,619,û 
854,2055,896,896,m 
1117,2055,1159,1159,0 
