TL.x,TL.y,BR.x,BR.y,WORD
86,296,1763,1763,Kindergarten and 
1875,417,2654,2654,Grade 1 : 
65,566,521,521,Book 
634,602,1262,1262,bag ( no 
1402,649,1974,1974,wheels ) 
68,852,127,127,1 
245,859,2048,2048,packet of index cards 
61,1115,118,118,5 
246,1121,1454,1454,pocket folders 
71,1340,131,131,1 
245,1347,1126,1126,Pencil bag 
83,1596,142,142,2 
255,1600,1137,1137,glue sticks 
97,1845,146,146,4 
271,1848,1704,1704,boxes of 12 count 
1807,1887,1931,1931,# 2 
2037,1892,2586,2586,pencils 
92,2067,143,143,1 
259,2069,2199,2199,box of 24 count crayons 
107,2288,154,154,1 
273,2291,2634,2634,pair of 5 " rounded - blade sciss 
105,2492,168,168,2 
309,2492,2343,2343,marble composition books 
125,2682,899,899,1 ” Binder 
137,2880,1347,1347,Pair of eatr - buds 
167,3206,717,717,Second 
185,3361,682,682,Book - 
