TL.x,TL.y,BR.x,BR.y,WORD
233,102,1211,1211,salem Macadèmiy 
813,210,1931,1931,HARTER 10 SCHOOL SUPPLIES 2017 - 2018 
1096,404,1834,1834,Lower School : grades 6 - 8 
193,493,2639,2639,At Salem Academy , all students are expected to REACH for college , which means to act in a Responsible . Empathetic 
189,540,2664,2664,Assertive , Cooperative , and Honest manner . Being responsible students bring required materials to class each day . AIL 
182,599,2561,2561,students are expected to maintain organized binders and use their planner daily to record homework . Students are 
174,661,2043,2043,expected to be prepared with these materials and a silent reading book at all times . 
162,753,2343,2343,REQUIRED SUPPLIES : To be replenished throughout the year as needed . 
164,860,427,427,BINDERS 
201,926,753,753,6th and 7th Grade Only 
294,987,2114,2114,One 3 ” hardcover , three ring binder with outside plastic cover to insert schedule 
756,1048,1026,1026,tab dividers 
190,1059,752,752,• Two packages of 5 - 
189,1114,554,554,8th Grade Only 
884,1162,2531,2531,, three ring binder ( Math , ELA , History , Science ) ; five iſ taking Spanish 
180,1172,995,995,• Four or five 1 " hardcover dividers 
172,1243,794,794,• One package of S - tab 
174,1314,420,420,All Grades 
854,1364,1620,1620,ring binder for Service - Learning 
165,1380,1161,1161,• One I ” hardcover , three pencil pouch 
266,1444,990,990,One three - hole punched holes 
265,1520,844,844,One 12 " ruler with three 
106,1668,316,316,PAPER 
1177,1710,1639,1639,paper ( 8 . 5 " by 11 ' " ) 
786,1723,1165,1165,wide ruled filler 
150,1743,913,913,• Three hole punched , notebook 
250,1812,668,668,One composition 
92,1961,568,568,PENS / PENCILS 
811,2024,1084,1084,with erasers 
530,2035,771,771,# 2 pencils 
147,2051,507,507,• One dozen 
1162,2086,1481,1481,1 large eraser 
805,2097,1147,1147,top erasers or 
242,2115,796,796,One 12 pack of pencil 
240,2188,764,764,Four blue / black pens 
1525,2221,1993,1993,/ cover for shavings 
1072,2236,1530,1530,with removable top 
789,2246,1038,1038,sharpener 
247,2263,991,991,One hand held pencil pencils 
140,2339,810,810,• One 12 box of colored 
91,2496,915,915,OTHER One 4 pack of highlighters 
482,2646,600,600,stick 
245,2656,458,458,One glue 
242,2746,609,609,One protractor 
1874,2753,2536,2536,- 300ES , Casio FX - 300MS 
1228,2776,1875,1875,calculator - e . g . Casio FX 
804,2792,1211,1211,: One Scientific 
245,2812,806,806,7th and 8th grade only 
586,2879,938,938,of index cards 
138,2896,565,565,• One package 
455,3039,764,764,SUPPLIES : 
85,3050,432,432,SUGGESTED 
537,3123,819,819,hole punch 
139,3136,707,707,• One binder scissors 
138,3218,867,867,· 7 " student Salem Academy 
84,3367,408,408,Provided by 
140,3449,584,584,• Daily Planner 
248,3535,683,683,Basic HW Folder 
