TL.x,TL.y,BR.x,BR.y,WORD
885,60,1720,1720,Grade THREE 
379,207,1252,1252,5 Composition notebooks 
1558,284,1937,1937,( vinyl only ) 
377,303,1542,1542,4 folders with pockets and prongs 
944,406,1689,1689,pencils with erasers * 
220,418,249,249,• 
374,415,927,927,5 packs wooden 
1569,505,1979,1979,only please ) 
1082,513,1536,1536,* ( dark colors 
375,524,1688,1688,3 dry erase markers ( 24 count or less ) * 
221,626,253,253,• 
371,623,1011,1011,2 boxes of crayons 
-21,638,116,116,oks ) 
376,740,885,885,12 glue sticks * 
1342,831,1927,1927,or more please ) . 
377,847,1327,1327,3 boxes Kleenex ( 250 count 
383,960,865,865,2 Clorox wipes 
381,1072,621,621,Erasers 
-10,1114,78,78,IS - 
382,1176,1591,1591,3 packs wide ruled notebook paper 
392,1292,854,854,1 pair scissors 
394,1400,1415,1415,1 pencil bag ( no boxes please ) 
386,1503,2231,2231,Ear buds or headphones ( for iPads ) . Place in a labeled 
393,1612,1491,1491,Ziploc bag . Room 204 ONLY : 
242,1835,814,814,For Students in 
928,1931,1213,1213,( 1 inch ) 
243,1943,279,279,• 
422,1940,1161,1161,3 Ring Binder - doh 
248,2066,280,280,• 
394,2063,980,980,13 - Pack of Play 
852,2285,1749,1749,Room 200 & 201 ONLY : 
250,2295,822,822,For Students in 
255,2410,280,280,• 
413,2409,1390,1390,1 pencil sharpener with lid 
417,2527,975,975,Colored Pencils 
248,2755,1524,1524,KEEP AT HOME FOR HOMEWORK : 
534,2882,797,797,Pencils 
537,3006,742,742,Ruler 
534,3134,2260,2260,Addition / Subtraction / Multiplication / Division 
538,3259,920,920,Flashcards 
