TL.x,TL.y,BR.x,BR.y,WORD
166,943,26,26,• 
299,953,183,183,• 
452,964,335,335,• 
587,969,478,478,• 
731,977,622,622,• 
1003,996,894,894,• 
1120,1005,1026,1026,• 
1360,1019,1274,1274,• 
1504,1019,1410,1410,• 
1618,1023,1522,1522,• 
1736,1029,1641,1641,• 
1856,1037,1762,1762,• 
2080,1044,1977,1977,• 
166,1056,26,26,1 
299,1059,183,183,2 
2192,1055,2097,2097,• 
452,1068,335,335,24 
587,1077,478,478,10 
2461,1073,2378,2378,Please 
731,1087,622,622,8 
867,1095,758,758,Sharp 
1003,1095,894,894,2 
1120,1110,1026,1026,3 
1254,1108,1155,1155,1 
1362,1115,1276,1276,5 
1504,1115,1410,1410,2 
1618,1120,1522,1522,1 
166,1130,26,26,pack 
299,1132,183,183,large 
1736,1135,1641,1641,4 
1966,1126,1762,1762,24 4 
2080,1137,1977,1977,5 
2192,1139,2097,2097,12 
731,1158,622,622,pack 
1003,1159,894,894,packs 
452,1187,335,335,pack 
1120,1180,1026,1026,ring 
1254,1177,1155,1155,red 
1364,1181,1284,1284,composition 
1504,1186,1410,1410,packs 
1618,1182,1522,1522,pack 
587,1209,478,478,pack 
1736,1200,1641,1641,pack 
1856,1194,1762,1762,pack 
2080,1193,1878,1878,pack pack 
2192,1238,2097,2097,inch 
2460,1300,2376,2376,purchase 
867,1321,758,758,- 
1254,1339,1155,1155,and 
166,1360,26,26,of 
867,1352,758,758,point 
1120,1361,1026,1026,zipper 
299,1393,183,183,boxes 
731,1384,622,622,– 
1618,1394,1522,1522,of 
1736,1392,1641,1641,of 
452,1404,335,335,– 
1856,1402,1762,1762,- 
2080,1398,1977,1977,of 
587,1418,478,478,of 
1003,1414,894,894,– 
2192,1411,2097,2097,clear 
1504,1432,1410,1410,— 
1966,1434,1878,1878,- 
166,1473,26,26,sticky 
731,1474,622,622,glue 
1856,1475,1762,1762,dryerase 
1003,1489,894,894,cap 
1618,1487,1522,1522,red 
452,1501,335,335,crayons 
1254,1492,1155,1155,1 
2080,1493,1977,1977,plastic 
1736,1514,1641,1641,highlighters 
1966,1505,1878,1878,# 
1504,1519,1410,1410,wide 
587,1532,478,478,fine 
867,1550,758,758,scissors 
1966,1546,1878,1878,2 
1254,1571,1026,1026,green pencil 
1371,1615,1290,1290,notebooks 
1966,1607,1878,1878,pencils 
2192,1617,2097,2097,view 
299,1629,183,183,of 
2458,1623,2375,2375,the 
731,1650,622,622,sticks 
1618,1642,1522,1522,pens 
1003,1658,894,894,erasers 
1504,1662,1410,1410,- 
2369,1668,2292,2292,sizes 
1504,1689,1410,1410,ruled 
587,1702,478,478,line 
166,1736,26,26,notes 
299,1735,183,183,tissues 
2080,1739,1977,1977,pocket 
2457,1751,2375,2375,exact 
2192,1785,2097,2097,binder 
1254,1797,1026,1026,plastic pouch 
2369,1841,2292,2292,are 
867,1860,758,758,( 
1856,1866,1762,1762,markers 
587,1880,478,478,markers 
867,1889,758,758,Small 
1504,1903,1410,1410,loose 
1736,1923,1641,1641,in 
2369,1963,2292,2292,important 
2456,1954,2374,2374,items 
2080,2007,1977,1977,dividers 
1736,2018,1641,1641,a 
1254,2056,1155,1155,pocket 
1504,2075,1410,1410,- 
1736,2082,1641,1641,variety 
867,2097,758,758,) 
1504,2105,1410,1410,leaf 
1856,2160,1762,1762,( 
2455,2156,2374,2374,on 
1856,2195,1762,1762,broad 
2454,2243,2372,2372,this 
1504,2287,1410,1410,notebook 
2369,2283,2292,2292,. 
1254,2332,1155,1155,folder 
2369,2333,2292,2292,Thank 
1736,2366,1641,1641,of 
2454,2380,2371,2371,list 
1856,2434,1641,1641,tip colors 
2453,2470,2372,2372,. 
1856,2510,1762,1762,) 
2453,2522,2292,2292,The you 
1254,2605,1155,1155,with 
1504,2616,1410,1410,paper 
2369,2658,2292,2292,! 
2453,2664,2370,2370,counts 
1254,2763,1155,1155,brads 
2451,2855,2367,2367,, colors , and 
