TL.x,TL.y,BR.x,BR.y,WORD
125,-24,542,542,SCISSUS 
1842,199,2450,2450,GRADE 
1024,217,1765,1765,SECOND 
169,430,1895,1895,1 pkg # 2 Dixon Ticonderoga pencils 
182,614,1106,1106,2 boxes of Kleenex 
213,761,975,975,2 erasers - large 
229,922,1680,1680,1 package of pencil top erasers 
255,1063,2102,2102,3 glue sticks and 1 bottle of Elmer ' s glue 
262,1193,1964,1964,2 pocket folders - No Trapper Keepers 
277,1346,1941,1941,1 BLACK Mead poly folder with brads 
336,1493,801,801,Watercolors 
334,1621,1883,1883,Markers - 10 count REGULAR colors 
298,1749,1353,1353,Backpack - NO WHEELS 
299,1879,2530,2530,2 . packages ofwhite copy paper ( 500 sheets each ) 
336,1991,2628,2628,Girls : 1 containierofdisinfectingwipes , gallonorsandwich 
334,2120,2623,2623,Boys : 1pack of EXPO dryerase markers , 1 large bag ofwi 
331,2248,2423,2423,$ 2 . 00 music fee - payable to Mooreland Schools 
334,2378,2595,2595,$ 10 . 00 fee - Weekly Reader ( payable to Scholastics , 
438,2513,2630,2630,Science News , Weekly Reader , Online Resources a 
429,2665,2598,2598,handling . ) BCA will supply the following items fo 
985,3049,1062,1062,M . 
1178,3060,2234,2234,Second Grade students 
293,3146,1330,1330,Scissors ( sharp pointed ) 
285,3288,2390,2390,24 count Crayola REGULAR colors ( 1 hom for 
