TL.x,TL.y,BR.x,BR.y,WORD
-16,72,202,202,2017 
1046,332,1704,1704,SAUGANASH SCHOOL 
1043,401,1705,1705,Supply List 2017 - 2018 
1188,477,1559,1559,Grades 5 & 6 
429,625,587,587,Supplies 
1396,635,1697,1697,Science Class 
263,647,587,587,General sticks 
323,691,451,451,* 2 glue 
1479,691,2136,2136,* 1 pack of Post - it notes ( 3x3 ) 
374,719,1029,1029,nacks of index cards with lines 
1481,740,2022,2022,2 composition notebooks 
305,780,739,739,* roll of Scotch tape 
1481,797,1809,1809,Safety goggles 
298,829,928,928,* 4 pack of dry erase markers 
281,874,1638,1638,1 box of black AND red pens ( no clicking pens ) . Math Class 
269,934,899,899,* 2 reams of loose - leaf paper 
1468,954,2299,2299,1 yellow 3 - subject spiral notebook 
345,994,683,683,5th : ( wide ruled ) 
1466,1015,2043,2043,1 yellow laminated folder 
338,1050,721,721,6th : ( college lined ) 
1468,1069,1741,1741,1 Protractor 
251,1106,1191,1191,50 # 2 pencils - sharpened ( not mechanical ) 
1455,1126,1780,1780,112 inch ruler 
255,1166,870,870,4 multi - colored highlighters 
1457,1181,2358,2358,1 spiral bound notebook of graph paper 
245,1226,1017,1017,1 box of 12 Crayola colored pencils 
245,1286,709,709,1 pair of Headphones 
1377,1302,1816,1816,STEM Supply List : 
244,1343,1046,1046,* 1 wide / thick black Sharpie marker 
1453,1366,2451,2451,5th : Elmer ' s glue and box of 10 # 2 pencils 
239,1399,1186,1186,1 White - Out correction tape ( NO liquid 
1447,1429,2533,2533,6th : pack of popsicle sticks and plastic spoons 
244,1464,879,879,white out ) - 6th grade only ! 
236,1526,411,411,Scissors 
1379,1549,1786,1786,Art Supply List : 
229,1586,579,579,Soft pencil case 
1452,1614,2258,2258,Please label all art items with first 
223,1642,237,237,* 
2281,1633,2354,2354,and 
252,1643,421,421,2 reams 
2369,1635,2458,2458,last 
447,1648,895,895,of white copy paper 
1452,1678,2002,2002,names with a permanent 
221,1702,413,413,* 2 boxes 
2039,1695,2185,2185,marker 
437,1708,478,478,of 
2197,1699,2246,2246,in 
504,1709,655,655,tissues 
2263,1701,2444,2444,package 
1447,1738,2178,2178,them in a baggie labeled " ART . " 
217,1766,735,735,* 2 rolls of paper towel 
1606,1803,2129,2129,Thick Crayola markers 
213,1826,228,228,* 
2137,1817,2151,2151,, 
236,1827,251,251,2 
2167,1818,2312,2312,classic 
282,1828,558,558,Disinfectant 
2336,1822,2473,2473,colors 
591,1835,874,874,Clorox wipes 
1610,1863,2104,2104,Thin Crayola markers 
207,1886,222,222,* 
2110,1877,2283,2283,, classic 
230,1887,501,501,2 bottles of 
2307,1882,2444,2444,colors 
529,1892,857,857,hand sanitizer 
1608,1923,1948,1948,Colored pencils 
1613,1987,1827,1827,Glue stick 
119,2014,940,940,Suggested : Chromebook insurance : 
1599,2050,2060,2060,Crayola crayons , 24 
114,2073,241,241,https 
2077,2064,2202,2202,count 
242,2075,780,780,: / / my . worthavegroup 
2236,2068,2437,2437,maximum 
781,2083,1202,1202,. com / sauganashil 
1603,2111,2420,2420,One notebook for sketching - lined 
1595,2170,2427,2427,paper is fine , but unlined is better . 
95,2209,821,821,Language Arts / Social Studies 
2441,2200,2512,2512,( If 
1594,2234,2218,2218,there are blank pages left 
185,2265,263,263,* HP 
2231,2257,2352,2352,from 
291,2267,506,506,60 Black / 
2362,2262,2450,2450,last 
531,2272,1274,1274,HP 60 Tri - color ( 6th grade only ! ) 
1592,2295,2371,2371,year ' s sketchbook , your child can 
183,2334,535,535,3 packs of Pack 
2395,2327,2468,2468,use 
558,2337,1125,1125,of Post - it notes ( 3 x 3 ) . 
1590,2359,2460,2460,the same sketchbook . Please change 
176,2398,629,629,3 - subject notebook 
1588,2418,2301,2301,the room number listed on the 
172,2458,581,581,1 inch blue binder 
2330,2450,2502,2502,book to 
1592,2478,2331,2331,reflect the 2017 - 18 homeroom . 
172,2522,709,709,1 red laminated folder 
2333,2513,2346,2346,) 
164,2585,1738,1738,1 red 5 subject notebook * Items that are going to be shared 
261,2818,2334,2334,Students are expected to have home access to a working computer , printer and ink 
