TL.x,TL.y,BR.x,BR.y,WORD
1299,203,3895,3895,ITEMS SOLD SEPARATELY ( BOTH ARE NEEDED FOR ALL GRADES ) 
397,428,484,484,1 
863,425,1690,1690,restaustNSTRUMENT 
873,474,1195,1195,earbuds 
455,534,514,514,- | 
868,602,3325,3325,TEXAS INSTRUMENT 2 LINE SCIENTIFIC CALCULATOR TI30XIIS 
117,2041,208,208,O 
347,2045,994,994,OU 
1132,2060,1223,1223,O 
1459,2066,1550,1550,O 
1786,2072,1877,1877,9 
2067,2079,2169,2169,por 
2309,2082,3063,3063,D FILMSP * " My we : ' . * . * . Yr , 
3172,2083,3378,3378,r . Y * * * * * * * * * * 
5,2114,41,41,: , . 
2605,2156,2853,2853,Linx . ; - - * * * 
192,2187,236,236,. SI , . 
2451,2204,2434,2434,5 
174,2216,252,252,Hygsg ! ' 
1632,2215,1671,1671,: 
2454,2224,2439,2439,- T * . 
2828,2243,2854,2854,» . 
1631,2267,1670,1670,. 
3542,2277,3650,3650,Eny : , 
1630,2299,1669,1669,. . 
3574,2805,3732,3732,: * % ? : 
84,2880,219,219,S . : . S . 
3345,2912,3368,3368,is 
3534,2910,3638,3638,een 
2090,2924,3296,3296,Sicut in vznikára 
-6,2949,23,23,' 
168,2949,452,452,* * * . . kiasi 
2323,2975,2445,2445,* * * 
2835,2969,3098,3098,XX * 
3322,2965,3499,3499,* * * 
3682,2962,3702,3702,* 
3865,2960,3947,3947,* * 
