TL.x,TL.y,BR.x,BR.y,WORD
1640,327,1812,1812,cards 
1113,353,1586,1586,of 345 indlex 
646,378,1051,1051,| ( 6 ) packages 
608,523,1553,1553,) ܒ ( ܗܕ As of Co ܘܩܘ Cer 
1710,533,1961,1961,24 ، ܚܗ 
596,682,1911,1911,) 6 ( pl ܘܐܬܟ pon Colden ) ܕ݁ܶܝܬܩܐ b ܚ ܠܝ 
2034,693,2074,2074,ܚ 
1671,811,1894,1894,Q AREA ) 
563,896,925,925,) 2 ( ܪ ܚܘ 
1063,915,1099,1099,ܠ ܐ 
1221,920,1454,1454,ܕܝ ܘܬܟ 
250,976,297,297,. D 
562,1063,1791,1791,( a ) s packs of Crayola Hackers . 
193,1139,281,281,punoy 
164,1223,238,238,DNS 
523,1228,1259,1259,( 4 ) packages of _ # 
1390,1247,1614,1614,pencib 
135,1306,202,202,du 
530,1373,1436,1436,( Q ) ped ) boxes ( black ) 
565,1535,1616,1616,| Q ich wte vieuw binder 
479,1706,2064,2064,( 4 ) packages of 4x12 construction paper - 
424,1868,1780,1780,( A ) 4 pack of dry eRose Macken 
403,2034,493,493,( 2 
627,2053,1346,1346,children scissos 
318,2203,464,464,( ) 
568,2225,2037,2037,spical note books ( 2 cod . Q . blu , a yelesa , algunes 
285,2385,376,376,( ) 
548,2408,684,684,inch 
820,2431,1525,1525,white _ view birder 
