TL.x,TL.y,BR.x,BR.y,WORD
15,4,291,291,coor o AT & T LTE 
480,10,652,652,10 : 06 PM 
914,4,1095,1095,1 74 % ) 
401,56,717,717,O docs . google . com 
-18,309,1116,1116,JOHN C . FREMONT MIDDLE SCHOOL SUPP 
165,429,650,650,7 * Grade Supply List 
117,514,544,544,O 3 - Ring Binder Large 
121,604,713,713,O College rule notebook paper 
119,706,551,551,O 3 - Spiral notebooks 
123,798,918,918,O Spiral graph paper notebook ( STAPLES ) 
124,887,416,416,O Graph paper 
116,972,558,558,O Red and black pens , 
309,1081,777,777,( no permanent markers ) 
123,1162,418,418,O Pencil Pouch 
123,1254,852,852,O 1 ruler with both Metric & Standard 
119,1341,514,514,O Pencils # 2 ( 1 box ) 
119,1434,299,299,O Eraser 
115,1516,1044,1044,O 1 each : Yellow , Green , Blue & Pink Highlighter 
119,1618,624,624,O 1 box of colored pencils 
115,1700,977,977,O Basic calculator with name clearly marked 
121,1798,875,875,O Flash drive / thumb drive 4G or bigger 
312,1899,986,986,( recommended for computer work ) 
