TL.x,TL.y,BR.x,BR.y,WORD
1300,41,1123,1123,W VINTTI . . . : 
904,360,1523,1523,BSNBCS 2017 - 2018 SupPL 
340,491,609,609,7th Grade 
1446,562,1519,1519,8th 
637,585,757,757,Folders 
341,631,512,512,12 Pencils 
638,647,917,917,Sharpened pencil 
639,700,1118,1118,Binder with 5 tabs or 5 subject 
342,736,480,480,1 Binder 
634,749,781,781,notebook 
1451,772,1534,1534,1 Bini 
343,794,458,458,1 Book 
633,803,1131,1131,Composition notebook ( journal ) 
341,855,431,431,1 box 
642,863,756,756,Markers 
1447,878,1537,1537,1 box 
342,913,431,431,1 box 
632,920,832,832,Color pencils 
1435,935,1536,1536,| 1 box 
345,972,449,449,1 pack 
639,977,801,801,Highlighter 
1440,993,1536,1536,| 1 pac 
326,1024,448,448,| 1 pack 
628,1025,828,828,Post - it Notes 
1452,1046,1547,1547,1 pad 
341,1081,448,448,1 pack 
623,1080,815,815,Index Cards 
1451,1105,1523,1523,1 pa 
330,1136,443,443,| 1 pack 
618,1137,901,901,Index Cards rings 
1449,1161,1524,1524,1 pa 
327,1197,464,464,| 2 packs 
621,1196,773,773,loose leaf 
1439,1223,1528,1528,| 2 pa 
344,1247,454,454,1 bottle 
626,1252,860,860,hand sanitizers 
1454,1281,1527,1527,1 bo 
328,1302,415,415,| 1 roll 
607,1308,807,807,| paper towel 
1451,1332,1536,1536,1 rol 
330,1358,444,444,| 1 pack 
623,1361,763,763,glue stick 
1455,1393,1526,1526,1 pa 
341,1409,444,444,1 pack 
605,1417,914,914,| construction paper 
341,1462,439,439,1 pack 
1461,1460,1535,1535,1 pa 
597,1475,899,899,jdry erase markers 
329,1520,422,422,| 1 can 
1457,1513,1521,1521,1 ca 
614,1529,810,810,clorox wipes 
1468,1563,1530,1530,| 
341,1575,420,420,1 box 
609,1585,700,700,tissue 
337,1629,421,421,1 pair 
1466,1626,1528,1528,| 
609,1646,731,731,scissors 
338,1684,542,542,1 Headphone 
1465,1678,1525,1525,모리 
594,1702,1053,1053,| set of headphones / earbuds 
333,1740,432,432,1 Pack 
602,1756,869,869,Post It flagstabs 
321,1869,874,874,Please be advised that we operate 
307,1921,444,444,amongst 
893,1920,956,956,as a 
457,1935,505,505,the 
979,1926,1155,1155,community 
524,1941,704,704,entire class 
1178,1944,1234,1234,and 
711,1958,718,718,. 
1254,1950,1342,1342,some 
737,1960,870,870,Scholars 
1364,1960,1510,1510,supplies 
893,1975,1494,1494,are not guaranteed to use only tha 
