TL.x,TL.y,BR.x,BR.y,WORD
15,8,170,170,. 000o Verizon 
330,5,429,429,8 : 45 AM 
635,0,743,743,1 ID 
330,44,749,749,nhcs . net 2017 - 20 
64,137,269,269,1 of 1 6 . Glue Sticks 
111,231,369,369,4 - Yellow Highlighters 
112,296,544,544,2 - Packs of pre - sharpened # 2 Pencils 
110,362,444,444,2 - Packs of pencil top erasers 
108,434,657,657,2 - Large Pencil bags ( no pencil boxes please ) 
108,502,625,625,2 - Boxes of Crayons ( Crayola 24 count only ) 
112,570,585,585,1 - Packages of Colored Pencils ( Crayola ) 
108,634,560,560,2 - Expo Marker ( 1 chisel point , I thin ) 
110,698,631,631,2 - Packages of notebook paper ( wide - ruled ) 
109,761,756,756,7 - One Subject Spiral Notebooks ( solid colors only , wid 
109,825,751,751,6 - Pocket folders with prongs - one red , one orange , o 
113,877,752,752,green 1 - Computer Compatible set of Headphones ( last year 
110,1003,308,308,1 - Box of tissues 
110,1066,409,409,2 - Pairs of child ' s scissors 
128,1135,748,748,items that would be appreciated b 
215,1214,750,750,Gallon size and sandwich size Ziploc Bags , Clor 
178,1276,746,746,packs of cardstock ( white or colored ) , colored co 
