TL.x,TL.y,BR.x,BR.y,WORD
679,58,2055,2055,10111 
595,436,2017,2017,PRESIDENTIAL PARK SUPPLY LIST 
246,873,1494,1494,Here is a list of supplies you will need 
374,962,691,691,1 bookbag 
1526,964,2128,2128,for kindergarten : 
370,1048,1029,1029,5 marble notebooks 
350,1131,1653,1653,1 package of Expo ( dry erase ) markers 
342,1219,1249,1249,1 box of sharpened pencils 
328,1306,1012,1012,1 plastic crayon box 
316,1408,583,583,1 folder 
303,1490,1237,1237,1 box of 12 colored pencils 
301,1592,735,735,4 glue sticks 
275,1670,941,941,2 boxes of tissues 
266,1766,1239,1239,2 boxes of Crayola crayons 
246,1870,745,745,2 glue bottles 
32,2150,2408,2408,Please be sure to label all items with your first and last name . 
