TL.x,TL.y,BR.x,BR.y,WORD
419,75,1308,1308,1 Three / four - inch regular 3 - ring 
433,171,1279,1279,binder or zippered binder with 
434,268,644,644,dividers 
419,351,1382,1382,2 - 3 Packs of loose leaf / filler paper 
425,459,858,858,for your binder 
432,543,1300,1300,1 Three - ring pencil pouch to be 
436,639,1333,1333,kept in binder with the following 
428,739,685,685,supplies : 
561,833,848,848,o Pencils 
563,916,1168,1168,o Black or blue pens 
567,1019,1092,1092,o Colored pencils 
562,1105,1053,1053,O 2 Highlighters 
568,1196,912,912,o ScisSOTS 
450,1292,770,770,Index Cards 
456,1377,1300,1300,2 One - subject spiral notebooks 
464,1477,1280,1280,1 Five - subject spiral notebook 
455,1569,648,648,( Civics ) 
465,1649,1200,1200,1 Pack of white copy paper 
460,1745,842,842,( Homeroom ) . 
469,1837,1313,1313,4 Boxes of tissues ( Homeroom ) 
472,1929,1153,1153,1 bottle of hand sanitizer 
351,2158,1137,1137,Supplies for Spanish Classes 
474,2301,619,619,Ruler 
893,2377,1275,1275,noteboot , 100 
362,2391,876,876,• T Composition 
480,2485,633,633,pages 
466,2565,1184,1184,English Spanish dictionary 
360,2714,1280,1280,Supplies for Geometry & Algebra 
484,2858,1358,1358,Graphing Calculator ( TI - 83 , TI - 83 
479,2946,1364,1364,Plus , TI - 84 , or TI - 84 Plus Edition ) 
505,3044,1021,1021,4 - 8 AAA Batteries 
486,3141,728,728,Compass 
