TL.x,TL.y,BR.x,BR.y,WORD
32,35,347,347,ACIM PEÇA ANGUS MINERVA GOLD 
553,32,834,834,RESFRIADO AS 29 . 00 KG 
31,64,362,362,ASSADO DE TIRAS DIANTEIRO ANGUS 
551,58,838,838,CONGELADO AS 37 , 00 KG 
31,94,225,225,BABY AERE MONTANA 
555,88,839,839,RESFRIADO 32 . 00 KG 
32,118,249,249,CONTAA VILE NIIS BASSY 
551,112,836,836,CONGELADO AS 14 , 00 KG 
22,146,346,346,| CONTRA FILE BIFES MINERVA GOLD 
554,142,838,838,RESFRIADO R $ 42 . 00 KG 
31,170,371,371,CONTRA FUE IRACIONADO ANGUS JBS 
554,170,838,838,RESFRIADO RS 15 , 00 KG 
30,199,430,430,CONTRA FILE IRACIONADO ANGUS MARFRIG 
554,196,839,839,RESFRIADO RS 45 , 00 KG 
20,224,842,842,| CONTRA FUE FRACIONADO ANGUS MINERVA GOLD RESFRIADO AS 47 , 00 KG 
20,252,389,389,' CONTRA ILE IRACIONADO MATURATTA 
554,252,843,843,RESFRIADO RS 31 , 00 KG 
28,278,373,373,CONTRA FILE FRACIONADO MONTANA 
553,278,798,798,RESFRIADO 31 , 00 
27,306,392,392,CONTRA FILE FRACIONADO SWIFT BLACK 
554,306,842,842,RI SERIADO 49 , 50 KG 
20,332,415,415,| CONTRA FILE PE CU INTEIRA MARFRIG GAIU 
553,332,843,843,RESFRIADO R $ 26 . 00 KG 
24,360,300,300,coSTELA 3 RIPAS SWIFT BLACK 
551,358,844,844,CONGELADO 20 , 00 KG 
24,386,291,291,ENTRECOTI ANGUS MARFRIG 
554,388,799,799,RESFRIADO NS 41 . 50 
22,414,349,349,ENTRECOTE ANGUS MINERVA GOLD 
552,414,844,844,RESFRIADO RS 49 , 50 KG 
22,440,249,249,ENTRECOTE MATURANA 
552,440,845,845,RESFRIADO RS 28 , 00 KG 
22,470,232,232,ENTRE COME MONTANA 
553,470,843,843,RESFRIADO RS 30 , 00 KG 
26,496,374,374,FILE MIGNON ANGUS FRACIONADO JAS 
554,496,654,654,RESFRIADO 
762,497,843,843,4 , 00 KG 
21,522,307,307,FILE MIGNON ANGUS MARFRIG 
553,524,845,845,RESFRIADO RS u , 00 KG 
21,550,225,225,FILE MIGNON FRIALTO 
552,550,797,797,RESFRIADO 36 . 00 
18,576,288,288,FRALDINHA ANGUS MARERIG 
554,582,801,801,RESFRIADO 39 , 00 
13,608,408,408,IFRALDINHA BIFES MARFRIG PROFISSIONAL 
554,608,801,801,CONGELADO KS 36 , 00 
19,634,247,247,FRALDINHA MATURATTA 
556,637,846,846,RESFRIADO 27 , 00 KG 
29,660,280,280,MAMINHA ANGUS MARFRIG 
555,662,845,845,RESFRIADO AS 37 , 00 KG 
27,688,176,176,MAMINHA BASSI 
554,690,844,844,RESFRIADO RS 32 , 00 KG 
22,716,278,278,PICANHA ARGENTINA SWIFT 
552,720,846,846,CONGELADO KS S5 , 00 KG 
22,744,157,157,PICANHA BASSI 
557,750,846,846,RE SI RIADO RS 60 , 00 KG 
25,772,172,172,PICANMA BERTIN 
556,776,846,846,RESFRIADO 46 , 00 KG 
23,801,280,280,PICANMA BIFIS SWIFT BLACK 
554,806,848,848,CONGELADO RS 41 . 00 KG 
22,826,323,323,PICANHA MINERVA GOLD ANGUS 
556,834,848,848,KESFRIADO 69 , 00 KG 
20,856,248,248,PICANHA MINERVA GRILL 
556,862,848,848,RESFRIADO RS 46 . 00 IG 
22,884,204,204,PICANHA MONTANA 
556,890,846,846,NE SFRIADO 16 , 00 KG 
21,910,339,339,PICANHA URUGUAIA LA MOROCHA 
556,918,847,847,RESFRIADO RS S8 , 00 KG 
23,938,330,330,PICANHA URUGUAIA LAS PIEDRAS 
555,946,803,803,KE SERIADO K $ S6 . 00 
18,966,344,344,PICANHA URUGUAIA TACUAREMBO 
556,974,848,848,RESFRIADO R $ 57 , 00 KG 
22,997,415,415,PICANHA URUGUALA TACUAREMBO ANGUS 
554,1000,847,847,AE SIRIACO KS 61 . 00 KG 
14,1024,250,250,SHORT RIBS SWIFT BLACK 
552,1029,850,850,CONGELADORS 33 , 00 KG 
16,1053,249,249,TIBONE ANGUS MARFRIG 
557,1055,862,862,CONGELADO RS 53 , 00 KG | 
276,1092,385,385,. . . . . . . 
