TL.x,TL.y,BR.x,BR.y,WORD
2071,124,2630,2630,Semper Eleme 
681,285,1047,1047,4th Grade 
2211,386,2618,2618,pencils and lea 
1541,400,2188,2188,) ( may be Mechanical 
614,419,1546,1546,3 dozen # 2 pencils ( sharpened 
620,535,1490,1490,1 hand held pencil sharpener 
618,655,1465,1465,2 1 / 2 in 3 inch 3 ring binder 
626,778,1527,1527,1 pack Expo dry erase markers 
587,899,1503,1503,· 2 big pink rectangular erasers 
627,1015,1358,1358,2 grading pens any color 
1074,1125,1653,1653,pencils ( sharpened ) 
628,1133,1059,1059,1 pkg . colored 
629,1250,1230,1230,1 pair Fiskar scissors 
633,1366,1707,1707,1 pencil bag with zipper ( nylon only ) 
634,1479,1414,1414,1 12 " ruler ( inch & metric ) 
705,1606,997,997,glue sticks 
639,1719,1509,1509,1 bottle of white elmer ' s glue 
639,1839,1788,1788,3 large pkg . notebook paper , wide rule 
639,1958,1269,1269,7 Composition books 
1165,2066,1921,1921,foiders ( plastic preferred ) 
643,2072,1152,1152,6 bottom pocket 
638,2191,1242,1242,2 boxes facial tissue 
1069,2291,2191,2191,- Notes , standard size ( last name A - M ) 
637,2296,1062,1062,4 pkgs . Post - it 
1478,2411,2057,2057,size ( last name N - Z ) 
647,2423,1466,1466,4 pkgs . Post - It - Notes , small 
643,2544,1176,1176,1 highlighter pens 
651,2663,1167,1167,1 basic calculator 
644,2774,1615,1615,2 container of disinfecting wipes 
1125,2890,1942,1942,/ earbuds personal use 
635,2896,1886,1886,1 headphone ( from dollar store or 3rd gr ) . 
651,3017,1011,1011,1 Dictionary 
650,3142,1290,1290,1 Box Band - aids ( A - L ) 
654,3251,1318,1318,1 black sha pies ( M - Z ) 
606,3359,939,939,5th Grade 
1477,3466,1485,1485,. 
1766,3475,1956,1956,nonom 
1823,3473,2189,2189,aaa monded 
1980,3476,2079,2079,aaa 
