TL.x,TL.y,BR.x,BR.y,WORD
9,-12,364,364,Q . ; * * 551 PM 
493,-12,543,543,. 18 
280,8,369,369,5 : 51 PM 
507,10,574,574,• 18 " . . 
199,48,413,413,* ' { } ' u2 ) , ' | ' , { . ( 
32,79,364,364,13 . 10 - Blue Pens 
32,153,330,330,14 3 - Rod Pom 
27,242,249,249,15 . 1 - Ruler 
29,329,511,511,16 1 - Pka . Ponall Crayonu 
33,418,343,343,17 . 2 . 1 * Bindan 
25,505,444,444,18 8 . Subject Dwidern 
33,594,521,521,10 1 - 8clontific Calculator 
31,681,399,399,20 . 1 - Geometry Sok 
47,770,473,473,1 . 1 - Pocket Dictionary 
47,858,337,337,2 1 - Themaurum 
47,950,461,461,a 1 - Poncti Sharponer 
56,1050,553,553,4 . 1 - Agenda Book / student 
112,1091,242,242,Planner 
