TL.x,TL.y,BR.x,BR.y,WORD
2400,270,3043,3043,Elementar 
1914,299,2334,2334,Zavala 
1703,313,1866,1866,De 
2895,384,3030,3030,Su 
2569,401,2877,2877,School 
2227,419,2531,2531,- 2018 
1970,432,2193,2193,2017 
2686,629,2663,2663,- - 
2782,671,3011,3011,Tercer G 
912,737,1256,1256,Third Grade 
2787,951,3015,3015,1 paque 
915,1023,1540,1540,1 pack of Clorox wipes 
2799,1091,3009,3009,1 caja d 
911,1152,1599,1599,1 box of Crayola crayons 
2805,1228,3014,3014,1 caja d 
907,1288,1608,1608,1 box of Crayola markers 
2804,1372,3028,3028,48 lápic 
909,1426,1968,1968,48 # 2 pencils ( no mechanical pencils ) 
2807,1519,3027,3027,4 barrit 
907,1559,1240,1240,4 glue sticks 
2805,1656,3020,3020,1 par d 
893,1680,1826,1826,1 pair of Fiskars pointed scissors 
2812,1808,3018,3018,2 cajas 
895,1827,1568,1568,2 boxes of tissue paper 
2820,1951,3040,3040,4 borra 
895,1971,1493,1493,4 jumbo pink erasers 
892,2096,2551,2551,4 hard cover composition notebooks ( 1 yellow , 1 green , 2 black ) 
2820,2096,3029,3029,4 cuad 
895,2239,2199,2199,2 packages of College ruled paper 200 count 
2835,2251,3012,3012,1 paq 
907,2375,1740,1740,1 white 1 " 3 - ring view binder 
2838,2392,3013,3013,1 cart 
908,2515,1515,1515,1 set of 5 tab dividers 
2848,2548,2995,2995,1 set 
903,2655,1747,1747,1 Quad ruled spiral notebook 
2868,2688,3049,3049,1 cua 
884,2792,1488,1488,3 bottles of sanitizer 
2877,2849,3032,3032,4 car 
876,2945,1475,1475,2 yellow highlighters 
2886,3001,3044,3044,1 plu 
864,3100,1838,1838,1 package of construction paper 
2896,3171,3049,3049,1 pa 
850,3254,2258,2258,1 pack of multiplication cards ( keep at home ) 
2907,3335,3003,3003,2 b 
833,3409,2094,2094,1 pack of division cards ( keep at home ) . 
2919,3507,3016,3016,1 . 
821,3587,1524,1524,1 ream of Xerox paper 
2942,3665,2997,2997,Ta 
