TL.x,TL.y,BR.x,BR.y,WORD
13,3,195,195,oor . AT & T LTE 
321,0,426,426,11 : 23 PM 
614,0,739,739,1 13XI • 
254,60,488,488,cantyschool . org 
247,221,642,642,Upper Grates 
268,286,624,624,6th - 7 - 8th 
-3,348,111,111,Dear Puents , 
-6,400,722,722,The following is a list of new your child will need on the IRSI day of chxol : 
64,455,481,481,| K . subject muctank ( lurrland REIIDING ) 
28,484,478,478,• | mc - subject nonchnik ( luhled WRITING ) 
28,510,372,372,. I folkt ( tunted TIAE IKUE , 
28,538,416,416,• I folkt ( lunted Sex TIL STUDIES ) 
67,568,548,548,! ons and a half - inch bindern ifex futh und Rouding 
65,596,364,364,1 ( K - inh bindkrn itt i turn ! 
65,624,443,443,3 Palages of din dkts stor thk hinders ) 
64,653,334,334,! paklager of kune kat papKT 
28,682,494,494,• ! paxlages of quadrilk graph paper ( fx futh ) 
66,708,167,167,I nuler Txakulatın 
66,764,528,528,* nih “ und Texo lasermann – . 30X IIS 
67,792,626,626,• gruder ligehru fuuk ' ntı Texas Instrumeno - TIW Plus 
82,821,332,332,palages of lıncd Hovards 
28,848,333,333,• Full suc upart du tunury 
65,878,251,251,: yellow highlighter . 
27,908,253,253,• ! pklager of Kils 
64,934,233,233,I pasluge read ni 
66,962,512,512,I paxlage of blak blux pons • other colon 
27,990,274,274,• I hand pin ' il shanct 
27,1018,365,365,• Schreh bend covers Jumo , Krt 
27,1045,546,546,• I Set of headphunes car hunds to be kept at steel 
25,1101,204,204,Fw the Hermcτικwm : 
27,1128,330,330,• ! rcame of white Xerox pauper 
27,1157,232,232,• In Fran : Marlen 
66,1186,414,414,I Smull plage of anlı - baxtonal wipos 
27,1211,221,221,• 3 ho of tissus 
523,1243,546,546,m 
679,1243,702,702,5 
