TL.x,TL.y,BR.x,BR.y,WORD
708,117,1733,1733,4th Grade Supply List 
745,267,1729,1729,Minneola Elementary 
204,453,1473,1473,2 packs of wide ruled notebook paper 
203,549,819,819,3 packs of pencils 
200,648,1057,1057,1 pack dry erase markers 
284,747,1036,1036,pack 24 count crayons 
200,835,703,703,2 highlighters 
195,930,644,644,1 pencil box 
193,1021,772,772,1 pair of scissors 
189,1116,1136,1136,1 pack of markers ( 8 count ) 
189,1220,1109,1109,1 packs of 3x5 index cards 
180,1313,1036,1036,1 sticky notes ( 3x3 inch ) 
175,1409,1114,1114,1 pack of large pink erasers 
167,1500,1707,1707,1 box of Ziploc bags : boys quart / girls gallon 
165,1600,2342,2342,5 wide ruled spiral notebooks ( yellow , black , green , red , purple ) 
160,1697,973,973,10 plain pocket folders 
