TL.x,TL.y,BR.x,BR.y,WORD
1271,1144,1522,1522,Desktop 2 Desktop 3 
1121,1150,1216,1216,Desktop 1 
285,1718,254,254,man ms mm O CELO 
1301,2566,1543,1543,MacBook Air < - - 
975,2785,1017,1017,ges 
855,2817,810,810,O2 
2607,2928,2694,2694,entet return 
674,2998,665,665,м 
1520,2998,1866,1866,JK | 
168,3019,218,218,tob 
1407,3013,1432,1432,H 
1711,3110,1727,1727,M 
116,3130,256,256,caps lock 
2153,3254,2256,2256,option 
1888,3270,2051,2051,Command 
592,3361,767,767,Command 
380,3378,493,493,option 
173,3394,290,290,Control 
