TL.x,TL.y,BR.x,BR.y,WORD
907,89,1782,1782,Gray Middle School 
683,246,1993,1993,EIGHTH GRADE SUPPLY LIST 
1180,425,1518,1518,2017 - 2018 
226,529,1128,1128,General supplies for all classes 
1378,546,1591,1591,Science 
309,642,676,676,Notebook paper 
1450,658,1819,1819,12 - 2 inch binder 
304,714,455,455,Pencils 
1460,725,1946,1946,Composition notebook 
306,779,544,544,Glue sticks 
1467,790,1731,1731,Graph paper 
298,847,648,648,Colored Pencils 
311,915,576,576,Highlighters 
289,977,776,776,Ear bud headphones 
1382,979,1786,1786,Social Studies 
1465,1098,1966,1966,Composition notebook 
1470,1166,1801,1801,2 Pocket folder 
1396,1305,1974,1974,Unified Arts Classes 
1475,1426,1763,1763,2 inch binder 
217,1455,512,512,Algebral 
1798,1483,2197,2197,dividers ( 5 at least ) 
1467,1490,1770,1770,Set of subject 
1391,1562,1745,1745,• Large eraser 
294,1575,759,759,Red 2 Pocket folder 
1484,1623,2084,2084,Hand held pencil sharpener 
294,1648,596,596,Graph paper 
1495,1693,1895,1895,Mechanical Pencils 
432,1711,831,831,bound notebook 
288,1715,422,422,Spiral 
1398,1813,1765,1765,Practical Living 
1396,1958,1692,1692,• 1 ” Binder 
1395,2017,2486,2486,• 5 Subject Dividers items would be greatly 
1404,2173,1807,1807,The following 
1401,2274,2438,2438,appreciated and are always needed 
995,2336,1085,1085,ing ) 
1766,2363,2031,2031,the year : 
1404,2373,1744,1744,throughout 
1405,2506,1843,1843,• 1 box of tissues 
526,2556,653,653,Arts 
2064,2553,2175,2175,wipes 
196,2573,500,500,Language 
1494,2574,2033,2033,1 container disinfectant 
1240,2653,1921,1921,sys - • 1 roll paper towels 
659,2678,1234,1234,of personal organization 
275,2693,1085,1085,Student choice ( Binder / Folder ) 
276,2780,705,705,tem for handouts 
275,2884,836,836,Spiral bound notebook 
