TL.x,TL.y,BR.x,BR.y,WORD
1059,642,1092,1092,ess : 
2117,773,2215,2215,, 
819,824,2041,2041,Crayola 
920,1497,1095,1095,Recycled 
1736,1568,2272,2272,by eachers 
1260,1586,1712,1712,preferred 
2839,1577,2847,2847,. 
833,1604,1084,1084,Con 
2245,1741,2338,2338,X - - 
812,1828,867,867,And 
1137,1829,1161,1161,! 
2491,1869,2677,2677,, 
906,1880,895,895,S 
1009,1888,1112,1112,Ener 
956,1913,1007,1007,ar 
709,1925,2406,2406,MARKERS 
2760,3066,2699,2699,KILAT . 
1947,3214,1975,1975,. 
2709,3236,2661,2661,Avia 
1951,3277,1980,1980,. - 
2682,3325,2657,2657,* 
1956,3361,1939,1939,S - . . 
2664,3386,2586,2586,Kuto¢sstva 
1939,3428,1805,1805,* " * . | 
1613,3630,1933,1933,Nontoxic 
477,3913,541,541,• • • • 
1022,3951,1044,1044,4 . 
