TL.x,TL.y,BR.x,BR.y,WORD
264,9,690,690,FOURTH GRADE 
106,527,412,412,Fourth Grade 
139,755,733,733,• 2 packs of lined paper 
139,838,615,615,• Pencil box / pouch 
140,922,576,576,• Colored pencils 
141,1002,442,442,• 24 Pencils 
210,1085,497,497,3 black pens 
141,1174,586,586,• 1 pair of scissors 
204,1254,678,678,3 dry erase markers 
141,1334,494,494,• 3 glue sticks 
140,1420,991,991,• 6 marble composition notebooks 
141,1506,465,465,• Highlighter 
141,1586,590,590,• 6 pocket folders 
204,1669,689,689,1 roll of paper towels 
139,1748,626,626,• 3 boxes of tissues 
141,1834,785,785,• 1 bottle of hand sanitizer 
144,1914,1007,1007,• 2 containers of disinfectant wipes 
