TL.x,TL.y,BR.x,BR.y,WORD
674,-39,1516,1516,UURES ISSues ( optional 
2023,-24,2152,2152,MU J 
1519,-9,1543,1543,) 
2177,-18,2421,2421,Talle . 
278,45,984,984,GRADE 1 boxes of 
344,205,271,271,n 
1017,199,2200,2200,12 pencils ( yellow # 2 , sharpened ) 
677,306,923,923,erasers 
348,318,275,275,F 
958,313,1415,1415,( plank - pink ) . 
683,406,1101,1101,packages of 
352,438,279,279,M 
1120,433,2468,2468,low odor , dry - erase markers ( w / eraser 
676,521,868,868,boxes 
2472,517,2490,2490,) 
909,527,1265,1265,of crayons 
356,543,283,283,F 
1286,536,1599,1599,( 24 pack ) 
673,631,2039,2039,glue sticks - ( Yes , we really use them all ! ) 
681,735,1643,1643,pair pointed scissors ( metal ) 
702,829,1746,1746,marble / composition notebooks 
664,923,1974,1974,folders , plastic , 3 - prong with 2 pockets 
672,1019,2453,2453,pair headphones , labeled , in gallon bag ( no earbuds ) 
1466,1105,1496,1496,) 
1139,1115,1465,1465,( optional 
675,1128,1123,1123,boxes tissues 
2072,1212,2745,2745,plastic sealable bags 
680,1230,2035,2035,box of each quart , gallon and sandwich 
671,1341,1004,1004,( optional ) 
686,1445,982,982,book bag 
677,1552,1024,1024,pencil box 
1445,1647,1949,1949,( post - its , 3x3 ) 
674,1669,736,736,3 - 
927,1662,1433,1433,of sticky notes 
746,1667,891,891,pack 
