Input,Product,Quantity,Tags
GRADE ONE SUPPLY LIST
WASHINGTON SCHOOL,WASHINGTON,1,
2017-2018
BACKPACK/SCHOOL BAG',BACKPACK BAG,1,
#2 PENCILS (Ticonderoga are wonderful),PENCILS,2,
LARGE PINK ERASER,LARGE ERASER,1,PINK
BOX OF CRAYONS (24 COUNT OR SMALLER),CRAYONS,Multiple,BOX
2 -POCKET FOLDER WITH 2 POCKETS,POCKET FOLDER WITH POCKETS,2,
2 LARGE GLUE STICKS,LARGE GLUE STICKS,2,
BLUNT SCISSORS (FISKARS ARE WONDERFUL),BLUNT SCISSORS,Multiple,
3-4 BOXES OF FACIAL TISSUES,FACIAL TISSUES,3,BOXES
ART SMOCK OR OLD SHIRT (FOR ART CLASS),ART SMOCK OLD SHIRT,1,
1 YELLOW HIGHLIGHTER,HIGHLIGHTER,1,YELLOW
2 PACKAGES OF BABY WIPES or DISINFECTANT WIPES,BABY WIPES DISINFECTANT WIPES,2,PACKAGES
4 EXPO DRY -ERASE MARKERS,EXPO DRY ERASE MARKERS,4,
1 SMALL BOX of QUART SIZED ZIPLOCS,SMALL QUART SIZED,1,BOX
1 WHITE BOARD ERASER,BOARD ERASER,1,WHITE
1 BOX of GALLON SIZED ZIPLOCS,SIZED,1,"BOX,GALLON"
Post -It Notes pined post -its work wonderfully)
PLEASE NO WHEELED BACKPACKS,PLEASE WHEELED BACKPACKS,Multiple,
•• PLEASE DO NOT PURCHASE MARKERS OR COLORED,PLEASE NOT PURCHASE MARKERS COLORED,Multiple,
PENCILS (i.e. Crayola Markers) FOR YOUR CHILD
"""'INDIVIDUAL TEACHERS MAY HAVE ADDITIONAL REQUESTS"
WHEN THE SCHOOL YEAR BEGINS
"""SOME ITEMS MAY NEED TO BE REPLENISHED",SOME NEED REPLENISHED,1,
THROUGHOUT THE SCHOOL YEAR
