Input,Product,Quantity,Tags
"5""' Grade Supply List"
• 6 note•bocs,note,6,
• 5 folders,folders,5,
• 1 1 inch 3 rang binder,inch rang binder,1,
• 2 11 -pack b+1vot of pencils,pack pencils,2,
• 1 pack of blue pens,pens,1,"pack,blue"
• 1 pack of black
• 1 set of markers,markers,1,set
• 1 scissors,scissors,1,
• 6 glue sticks,glue sticks,6,
• 4 high lighters ',high lighters,4,
• 1. flash drive lasW lundAmouat of storage),flash drive storage,1,
• 2 i '.. of Kleenex,Kleenex,2,
• 2 rolls of paper towels,paper towels,2,rolls
