Input,Product,Quantity,Tags
.5. 204 Supply List
• 2 3oxes 01 c ry erase mar <ers 1:3 at,erase mar,2,
• 2 3ac oy ye ow #2 Pend s 1:siarPenec'l
:ticonc eroga ?rei=errec •
• 1 arge eraser •,eraser,1,
• 2 E mer's g ue stic<s •,mer,2,
"• pac<age ga on sizec Zi,3 oc 3ags •",age,3ags,
• 2 Sox o1= tissues •,tissues,2,
• 2 Sac <age Printer Pa Per,Sac age Printer P,2,
Kinderg
• 1 c 1ange of 1es in a Zip oc Dag wit t Heir •,Zip Dag wit Heir,1,
"name written on tie Jag ,,•'",name written tie Jag,1,
•
• 2 mar D e com position note Doo <s •,mar position note,2,
• 2 two -Doc <et p astic fo c er,two Doc,2,
• 1 Sox ' 24 crayons •,crayons,1,
• 1 Sox o�' :1.2 co orec mar cers •,mar,1,
•
