Input,Product,Quantity,Tags
Suggested 6 Grade Supply List,Suggested,1,
2017-2018
4 144 inch binder,inch binder,4,
"4 Dividers, S tabs",Dividers tabs,4,
4 2 pocket folders,pocket folders,4,
1 Marble Composition book,Marble Composition book,1,
1 Calculator - 4 function,Calculator function,1,
1 Poly -envelope for binder,envelope,1,
packets of reinforced filler paper,packets reinforced filler paper,Multiple,
Reinforcements,Reinforcements,Multiple,
Pencil case or pencil box,Pencil case pencil,1,box
#2 pencil,pencil,2,
2 Dry erase markers (blue or black),Dry erase markers,2,
Red pens,pens,Multiple,Red
Blue or black pens,pens,Multiple,"Blue,black"
Highlighters,Highlighters,Multiple,
Glue sticks,Glue sticks,Multiple,
Scissors,Scissors,Multiple,
Colored pencils,Colored pencils,Multiple,
"1 Expandable, plastic accordion folder with 13 pockets & clasp",Expandable plastic accordion folder,1,
Package of multi- colored Post -it Notes
"""""Please !mite: !antlers bigger t!nn 11 ! or litlire a zikver cover"
"do NQI fit in the lockers! """""
"""""ntickpacks MUST bead A fit into locker.""'"""
"""""Vie AVIV recemmendbuying the Locker T-nf_l_ders"
sail! by the PTO to be hung in the lockers'
"""""""""Stvients are also asked to a pnir of eaL A is with the design""ted for srhnal use."
