Input,Product,Quantity,Tags
rd Grade
Sack Da.ck 1 whee s),Sack whee,1,
.. box a' crayons,crayons,Multiple,box
4 ;3 ue sticks,sticks,4,
"5 pocket fo ders red, ye 0w, b ue,",pocket red,5,
"green, Oran e",green Oran,1,
2 packs o.: Ex'0 dry erase roarkers,pack dry erase,2,packs
1 pair of b u nlw tip chi d scissors,tip chi scissors,1,pair
2 reams of copy paper,reams copy paper,2,
+:24-packs 2 penci s,packs,24,
.1 pack o1' index cards,index cards,1,pack
2 inch binder with a c ear front,inch binder,2,
pocket,pocket,1,
"5 spira notebooks +,wic e ru ec`"
2 packs of loose 'eaiF paper jwide,pack loose paper,2,packs
ruled),ruled,1,
0 1 bottle of hand sanitizer,hand sanitizer,1,bottle
1 pack of baby wipes,baby wipes,1,pack
LI 1 pair of headphones..,headphones,Multiple,pair
D 1 box of tissues,tissues,Multiple,box
Boys Only:
Q 1 box of quart size Ziploc bags
Girls Only
Li 1 box of gallon size Ziploc bags,size Ziploc bags,Multiple,"box,gallon"
