Input,Product,Quantity,Tags
groci
Please provide your scholars with the following supplies by the first day of school.
Glue sticks,Glue sticks,Multiple,
Scissors,Scissors,Multiple,
Colored pencils,Colored pencils,Multiple,
Number 2 pencils,Number pencils,Multiple,
Construction paper,Construction paper,1,
Composition notebook,Composition notebook,1,
Notebooks,Notebooks,Multiple,
folders,folders,Multiple,
Loose leaf paper,Loose leaf paper,1,
Multiplication flashcards,Multiplication flashcards,Multiple,
Hand sanitizer,Hand sanitizer,1,
Clorox wipes,Clorox wipes,Multiple,
Tissues,Tissues,Multiple,
2
1
1 pack
2 packs
1 pack
1
1 red
1 yellow
1 blue
1 purple
1 green
1 red
1 yellow
1 blue
1 purple
1 preen,preen,1,
1 pack
1 pack
2 bottles
2 containers
1 pack
*No handheld sharpeners or mechanical pencils please,handheld sharpeners mechanical pencils please,Multiple,
