Input,Product,Quantity,Tags
Ink pens for corrections (multiple colors recommended),Ink pens,Multiple,
"1 -locker stacking shelf with 12"" legs",locker stacking shelf,1,"12"""
5-100 count pagckages college ruled loose leaf paper (LA/math/religion),college ruled loose leaf paper,5,
1 -package loose leaf graph paper (math),package loose leaf graph paper,1,
"2-1"" 3 -ring binder with pockets (religion/math)",ring binder,2,"1"""
2 -package of 8 tab dividers for binder (religion/math),package tab dividers,2,
2-1 subject notebooks with hard cover (SS),subject notebooks,2,
2 -composition notebook (science/LA),composition notebook,2,
"1 -Yellow (8'hx11%:"")legal note pad (science)",Yellow legal note pad,1,
"3 -JUMBO book covers (1 purple (math), 1 grcc:i (SS), 1 blue(science)j",JUMBO book covers blue,3,purple
1-1134XIIS calculator (math),calculator,1,
"3-100 pack of 3""x5"" lined index cards (LA, religion, science)",lined index cards,3,"3"",pack"
1-50 pack wooden pencils*,wooden pencils,1,pack
1-24 pack of color pencils*,color pencils,1,pack
1-10 pack of fine line markers*,fine line markers,1,pack
1-4 pack multi -color pen -style highlighters*,multi color pen style highlighters,1,pack
4 -red ball point pens*,red ball point pens,4,
"4-1'4x2"" Post -it note pads (variety of colors) *",Post note,4,"2"",pads"
"1-12"" ruler w/metric markings (plastic only)*",metric markings,1,"12"""
3 boxes of Kleenex *,Kleenex,3,boxes
3 rolls of paper towels*,paper towels,3,rolls
2 containers Clorox wipes*,Clorox wipes,2,containers
1 box snack size ziploc bags*,snack size ziploc bags,1,box
Backpack (no wheels),Backpack,1,
*items to be collected by teacher for community classroom use
Jth GRADE ART
1 black Sharpie marker,Sharpie marker,1,black
"Sketchbook, side wirebnd, 11x8.5, 70 sheets",Sketchbook side sheets,Multiple,11x8
"nth (1RAADIMMP ,1C$„",nth,1,
Headphones w/ boom mic-preferably not a USB plug** (to stay in comp. lal
**headphone and mic need to have separate plugs -check Best Buy
