Input,Product,Quantity,Tags
",do --"
N
4 T
Pe Pack of Sharp
1 pack o it Er
washable
magic markers,magic markers,Multiple,
] e
1 Boxes °f 24
Pair of Scissors,Scissors,Multiple,Pair
°rs (dull
4 Glue Sticks,Glue Sticks,4,
1 pack of (small)
post -i,post,1,
3x3 lined,lined,1,3x3
2 Box of Tissues,Tissues,2,Box
1 Roll of Paper Towels,Paper Towels,1,Roll
1 Box of Wet wipes,Wet wipes,1,Box
1 Box Ziploc Bags (gallon,Ziploc Bags,1,Box
1 Box Colored Pencils,Colored Pencils,1,Box
1 S GIs
plastic case suppl,plastic case suppl,1,
box (b only) Y
5 Marbled Notebooks wide,Marbled Notebooks wide,5,
rule labeled with child's,rule labeled,1,
name,name,1,
1 large eraser pack,large eraser,1,pack
5 two bottom pocket folders,two bottom pocket folders,5,
"solid color (1 red, 1 blue, 1",solid color,1,
"yellow, 1 green, l black, label",yellow green black label,1,
all folders with your child's
name),name,1,
