Input,Product,Quantity,Tags
05/15/2017
09: 31
8452476092
PAGE 01/01,PAGE,01,
/7th Grade
Description,Description,1,
1 1 1_ in 3 Ring Binder,Ring Binder,1,
"[,2 1 Loose leaf paper",Loose leaf paper,2,
i 3 1 Blue/Black pens,Blue Black pens,Multiple,
4 1 Pencils,Pencils,4,
5 / scientific Calculator-,scientific Calculator,5,
6 J Notebook Dividers,Notebook Dividers,6,
Red Pens,Pens,Multiple,Red
8 j Textbook Cover,Textbook Cover,8,
9 1 Journal Composition Book,Journal Composition Book,9,
1 10 I 100 Index Cads,00 Index Cads,1,
"Ui 1 Highlig;,per"
112 1 Colored Pencils,Colored Pencils,112,
13 Plash or paper pocket & prong,Plash paper pocket prong,13,
folders,folders,Multiple,
"14 r - sneakers, T-shirt, Shorts,",sneakers shirt Shorts,14,
"Sweatshirt, 5wea4ants",Sweatshirt,1,
Quantity,Quantity,1,
"1- Red, 1 -Blue, 1- Cceen, 1 Black,",Red Blue Black,1,
Nccded all year V
Nccded all year </
Nzcded all year
1- Math -sugges t/
1_ set
Nccded all year ✓
"3 exrd large, 1 regular",large regular,3,
2 -Health and Rome and Careers t,Health and Rome and Careers,2,
1 set c/
"Nceded all year V """
1 box- Science,box Science,1,
10 orange or yellow- nccded for Home and
CarcOrs
Gym clothing,Gym clothing,1,
Any color
