Input,Product,Quantity,Tags
s:.r..r - .r.a._ -
George West Junior High,George West Junior High,1,
7th Grade Supply List
2017-2018
All Students win need theses suppIie '
Geners.' Snnntieg
combination lock,combination lock,1,
} 1 box of tissues (give to 5th period teacher),tissues,1,box
2 -inch three-ring binder (red),inch three ring binder,2,
pencil pouch to fit in binder,pencil pouch fit binder,1,
--black pens,black pens,Multiple,
— red pens,pens,Multiple,red
pencils,pencils,Multiple,
set of highlighters,highlighters,Multiple,set
— pencils,pencils,Multiple,
1 package pocket dividers,pocket dividers,1,package
Texas Wtnry,Texas,1,
1 -inch three-ring binder,inch three ring binder,1,
1 1 -subject spiral notebook (fit in binder),subject spiral notebook,1,
1 bottle Elmer's school glue,Elmer glue,1,bottle
L'}te Seienee
1 -inch three-ring binder,inch three ring binder,1,
1 college ruled spiral (with holes),college ruled spiral,1,
FLA
2 -inch three-ring binder,inch three ring binder,2,
1 pkg. of dividers,dividers,1,pkg.
notebook paper,notebook paper,1,
composition notebook,composition notebook,1,
1 3 -subject spiral with holes,subject spiral,1,
1 1 -inch three ring binder (white),inch three ring binder,1,
1 package of dividers,dividers,1,package
1 pkg pencil top erasers,package pencil top erasers,1,pkg
1 large glue stick,large glue stick,1,
lath,lath,1,
1 composition book,composition book,1,
1 blue folder with pockets and brads,folder,1,blue
package of thin dry erase markers (girls),thin dry erase markers,Multiple,package
package of regular dry erase markers (boys),regular dry erase markers,Multiple,package
"s, /"
* This is a basic list
Teachers may ask for additional items specific
to their course.,their course,1,
Ejertives
"Once you child has their schedule, additional"
supplies for electives will be required. The
elective teachers will provide those lists on the
first day of school.,day,1,
