Input,Product,Quantity,Tags
te'az;
"_._- pp�,Y LIST"
"KINDERGARTEN _""-�-"
1 large book sack (no rollers',large book sack,1,
1 c of clothes,clothes,1,
"Yola markers I,10ct')",markers,10ct,
2 packs of Cra,pack,2,packs
2 large glue sticks 1 pencil box and packs nt`�,large glue sticks pencil and pack,2,"box,packs"
"1 of #2 pencils x,24 cou",pencils,1,
3 large boxes of Kleenex tissue,large Kleenex tissue,3,boxes
3 rolls of paper towels,paper towels,3,rolls
1 large bottle of liquid hand sanitizer,large liquid hand sanitizer,1,bottle
2. boxes of baby wipes,baby wipes,2,boxes
4 packs of white copy paper,pack copy paper,4,"packs,white"
2 packs of colored copy paper,pack colored copy paper,2,packs
1 pack of construction paper,construction paper,1,pack
1 box of sandwich zip lock bags (boys),sandwich zip lock bags,1,box
1 box of gallon Ziploc bags (girls),Ziploc bags,1,"box,gallon"
1 box of Band-Aids,Band Aids,1,box
1 marble composition books,marble composition books,1,
4 yellow plastic folders with prongs,plastic folders,4,yellow
1 package of sheet protectors,sheet protectors,1,package
1 pack of water co 'ors,water ors,1,pack
1 package of caper D ates,caper ates,1,package
"3 packs of Crayo a , coun ' Crayons i':.6",pack Crayons,3,packs
Y t�
1 pair of scissors +' ) unt1
� 1
•
1
3
1
2
4
1
SF rn m rt IN a a -- _
