Input,Product,Quantity,Tags
Add to Cart
School Pack Contents,Contents,Multiple,Pack
Item # Description Qty,Item Description Qty,1,
EP09902 PRIMARY RULED MARBLE COMP BK 100CT 2,PRIMARY RULED MARBLE COMP,2,
UC532352 WIDE RULED BLACK MARBLE COMP BOOK 100CT 2,WIDE RULED MARBLE COMP BOOK,2,BLACK
MJ25150B BLUE PLASTIC POCKET FOLDER 1,PLASTIC POCKET FOLDER,1,BLUE
MJ25150G GREEN PLASTIC POCKET FOLDER 1,PLASTIC POCKET FOLDER,1,GREEN
MJ25150R RED PLASTIC POCKET FOLDER 1,PLASTIC POCKET FOLDER,1,RED
MJ25150Y YELLOW PLASTIC POCKET FOLDER 1,PLASTIC POCKET FOLDER,1,YELLOW
MJ2 515 0 ASST. PLASTIC POCKET ONLY FOLDER 1,55 ASST PLASTIC POCKET ONLY FOLDER,1,
FC 1213 2 S NO2 PRESHARPENED YELLOW PENCIL (LATEX FREE) 48,1213 PENCIL,48,YELLOW
EP5100 PENCIL CAP ERASERS (LATEX FREE) 12,PENCIL CAP ERASERS,12,
BS48 CRAYOLA CRAYONS 48CT 2,CRAYOLA CRAYONS,2,
BS 7 8 0 8 CRAYOLA ULTRA CLEAN WASH THICK MARKERS 8CT 2,CRAYOLA ULTRA CLEAN WASH THICK MARKERS,2,
B0511 ELMER'S SMALL .210Z (6 GRAM) GLUE STICK 4,ELMER SMALL GLUE STICK,4,
1XERO XEROGRAPHIC COPY PAPER REAM (BULK) 3,XEROGRAPHIC COPY PAPER,1XERO,REAM
SC 12 0 SCOTTIES TISSUE 120CT 6,SCOTTIES TISSUE,6,
39250 PAPER TOWELS 85CT (BULK) 6,PAPER TOWELS,39250,
BW UNSCENTED BABYWIPES SOFT PACK 80CT 5,UNSCENTED SOFT,5,PACK
LIQSOAPP LIQUID HAND SOAP W/PUMP 2,LIQUID HAND SOAP PUMP,2,
WSB WATERLESS HAND SANITIZER WITH PUMP 80Z 2,WATERLESS HAND SANITIZER WITH PUMP,2,
103E BOX OF RECLOSABLE GALLON BAGS-20CT 2,BAGS,103E,"BOX,GALLON"
102B BOX OF RECLOSABLE QUART BAGS 25CT 1,QUART BAGS,102B,BOX
115B BOX RECLOSABLE SANDWICH BAGS 50CT 1,SANDWICH BAGS,115B,BOX
BS53525 CRAYOLA WASHABLE WATERCOLORS 8CT 1,CRAYOLA WASHABLE WATERCOLORS,1,
B0516
ELMER'S 0.77 OZ. (22 GRAM) GLUE STICK 2,ELMER GLUE STICK,2,
BS7808
CRAYOLA ULTRA CLEAN WASH THICK MARKERS 8CT 1,CRAYOLA ULTRA CLEAN WASH THICK MARKERS,1,
CRAYOLA CRAYONS 24CT 1,CRAYOLA CRAYONS,1,
BS24 CRA
