Input,Product,Quantity,Tags
"Binders ("" )",Binders,Multiple,
Dividers (Package of 8),Dividers,Multiple,
Marble Notebooks 100 pg. wide ruled,Marble Notebooks 100 wide ruled,Multiple,
BOX of 24 Crayons,Crayons,Multiple,BOX
#2 Wooden Pencils,Wooden Pencils,2,
Colored Pencils - 12 pack,Colored Pencils,12,pack
Plastic Folders w/ Pockets Assorted Colors,Plastic Pockets Assorted Colors,Multiple,
Pair of Scissors (Niskar),Scissors,Multiple,Pair
E liner's Glue Sticks (Nat),liner Glue Sticks,Multiple,
Elmer's Glue (8 oz.),Elmer Glue,1,
Multicolored Markers (Broad),Multicolored Markers,Multiple,
Pink Erasers,Erasers,Multiple,Pink
"3""x5"" Index Cards (Lined)",Index Cards,Multiple,"3"""
"12"" Ruler (Must show inches & centimeters)",Ruler,1,"12"""
Dictionary (To keep at home)
Baby Wipes - Large Package,Baby Wipes Large,Multiple,Package
Box of Tissues - Large,Tissues Large,Multiple,Box
Yellow Highlighter,Highlighter,1,Yellow
Pencil Case/Box,Pencil Case Box,1,
Red Pens,Pens,Multiple,Red
"I-l (]\o earhuei,- please)"
Ziplock Bags(BO.\) wide ruled,Ziplock Bags wide ruled,Multiple,
Loose Leaf Paper (L ack.1 a ),Loose Leaf Paper,1,
Post -I Notes (Packasge),Post Notes,Multiple,
p
Item,Item,1,
"Alma %Barguilo, Principal — i t•u 316-3794906",Alma Principal 316,3794906,
"RoCh , Assistant Principal - i1 ha fr hoo",Assistant Principal,1,
aachaqi r-��_ ortschos�'p
2017/2018 K-
4 SCHOOL SUPPLIES
Kindergarten First Grade Second Grade
1 Gallon & 1 Quart 1 Gallon & 1 Quart 1 Gallon,Quart Quart,1,"Gallon,Gallon,Gallon"
1 Gallon
1
*Pl write_ your child's name on ail personal belonzin3s and school supplies,your child name ail ,1,
1
1
1
