Input,Product,Quantity,Tags
1J'uJic Scfiwj 55
g he gietvui.tic. fiaehm Scfutai
"54 (9e6axne St. Smfen. 3a&and, .N11 1C312"
718-697-5200 (office) 718-356-0114 (fax) www.ps55.or,office  356 0114,718,
"Sfiaten siafun n, 9'uincipai 9"
"Jaud cioulart , CLA. J'aincipai"
1St Grade Supply List
5 Wide Ruled hard covered composition notebooks
"eft4 folders — one red, one yellow, one blue, and one green",folders  red  yellow  blue ,one,green
-24 sharpened pencils,sharpened pencils,24,
.12 glue sticks,glue sticks,12,
.. Fiskars scissors,scissors,Multiple,
—24 ct. Crayola crayons,Crayola crayons,24,
12 ct. Crayola washable markers,Crayola washable markers,12,
",12 or 24 ct. Crayola colored pencils",Crayola colored pencils,12,
Crayola brand watercolor paint,Crayola brand water color paint,1,
—4 pack EXPO Dry Erase Markers,EXPO Dry Erase Markers,4,pack
_Post -its,Post its,1,
Sheet protectors,Sheet protectors,Multiple,
"Plastic supply box — dimensions: 8%""L x 5 x 2",Plastic dimensions,2,"5 x 2,box"
Soft pencil case,Soft pencil case,1,
Scotch tape,Scotch tape,1,
%. Construction Paper,Construction Paper,1,
OPTIONAL (BUT MUCH NEEDED)
3 rolls paper towels,paper towels,3,rolls
2 boxes of tissues,tissues,2,boxes
1 package of baby wipes,baby wipes,1,package
Lysol or Clorox Wipes,Lysol Clorox Wipes,Multiple,
"Ziploc bags: boys- gallon size, girls- quart size"
Liquid soap,Liquid soap,1,
10 band -aids,band aids,10,
1 ream of white copy paper,copy paper,1,"ream,white"
Have a great summer!
