Input,Product,Quantity,Tags
301 W MARKET ST.,MARKET,301,
"GEORGETOWN, DE 19947",GEORGETOWN,19947,
Supplies for 2017-2018 School Year
"Grades 6th, 7 8"
"_One. 2 !na, 3 ring_ !nriPr"
"OTTe- 1 !nth, 3 ring binder",nth ring binder,1,
4 composition books 3,composition books,4,
3 packs of notebook paper k,pack notebook paper,3,packs
1 pack of 8 tab notebook dividers,tab notebook dividers,1,pack
1 pack of notebook paper reinforcement labels,notebook paper reinforcement labels,1,pack
1 pocket folder,pocket folder,1,
1__ o e s
24 pack of #2 pencils,pencils,24,pack
1-Sa pen Gu 1,pen,1,
ac c c - -Cap era ers,Cap era,1,
1 pack colored pencils?,colored pencils,1,pack
"1 pack of assorted color pens,",assorted color pens,1,pack
1 pack of assorted color highlighters 3,assorted color highlighters,1,pack
1 pack of fine point dry -erase markers \,fine point dry erase markers,1,pack
1 pack of glue sticks,glue sticks,1,pack
1 pack of 4 x 6 index cards,index cards,1,"4 x 6,pack"
1 pack of 3 x 5 index cards,index cards,1,"3 x 5,pack"
2 packs of post -it notes I,pack post notes,2,packs
"1 lar _ox of,i0een"
container of C x wipes,wipes,Multiple,container
8 grade o
All of the above and:
1 three subject composition book,three subject composition book,1,
1 composition book with graph paper,composition book,1,
