Input,Product,Quantity,Tags
Kit Componen Listing,Kit Listing,1,
School
North Beach Elementary,North Beach,1,
4100 Prairie Ave,Prairie Ave,4100,
Miami B FL 33140,Miami,33140,
Quantity Brand Name,Quantity Brand Name,1,
3 Ea Mead,Mead,3,Ea
1 Ea Mead,Mead,1,Ea
1 Pk C -Line,Pack Line,1,Pk
1 Ea C -Line,Line,1,Ea
1 Ea SchoolKidz
4 Ea Staples,Staples,4,Ea
4 Dz Dixon,Dixon,4Dozen,
1 Pk Staples,Pack Staples,1,Pk
2 Ea. Maped
1 Pr Fiskars
4 Ea Papermate
3 Bx Crayola,Box Crayola,3,Bx
2 Ea Elmer's,Elmer,2,Ea
1 St Trend/Lng Plygr,Set Trend,1,St
3 Pk Staples,Pack Staples,3,Pk
1 Pk . Bazic
"' 1 "" -- ECM „Turell"
1 Bx Scotties,Box Scotties,1,Bx
1 RI Bounty,Bounty,1,
3 Pk Kimberly Clark,Pack Kimberly Clark,3,Pk
1 Bx Glad,Box Glad,1,Bx
1 Bx SchoolKidz
1 Bx Glad,Box Glad,1,Bx
1 Pk C -Line,Pack Line,1,Pk
2 Ea Clorox,Clorox,2,Ea
1 Ea Bonus Items,Bonus,1,Ea
Item Description,Item Description,1,
Description:,Description,1,
Account #:,Account,1,
Kit Number:,Kit Number,Multiple,
1st Grade
34713
3471301 ALL,ALL,3471301,
"Comp Book, 1 /2"", Primary Joumal, Marble Cvr, Blk, 100 Sht",Comp Book Primary Marble 100,Multiple,"2"""
"Handwriting Comp Book, Primary, Marble Cvr, 100 Sht Blue"
"Folders, Poly, 2 Pocket, 4Pk, Be/Rd/Gn/Yw"
"'folder, Poly, 2 Pocket, Orange",folder Pocket,1,Orange
"Pencil Case, Fabric, 3 -Hole w/Grommets, 10""x 6"", Asst."
"Pen, Stick, Medium Point, Red",Pen Stick Medium Point,1,Red
"Pencils, #2, Ticonderoga, Unsharpened, Dz.",Pencils Ticonderoga Unsharpened Dozen,Multiple,
"Highlighters, Chisel Tip, Yw/BI/Gn/Pk/Or/Pur, 6/pk"
"Sharpener, Pencil & Crayon, DbI Barrel, Canister",Sharpener Pencil Crayon Barrel,1,Canister
"Scissors, 'For Kids', 5"", Blunt Tip, Latex Free, Asst."
"Eraser, Vinyl, 'Magic Rub', Latex Free, Large",Eraser Vinyl Magic Rub Latex Free Large,1,
"Crayons, Crayola, Tuck Box, 24/Box"
"Glue Stick, Elmer's Washable, Purple, Dries Clear, .21 oz.",Glue Stick Elmer Washable Purple Dries Clear ounce,1,
"Flash Cards, 0-12, Add., 3.25"" x 5.25"", 55 Cards"
"BULK Copy Paper, 20 Ib, 8.5"" x 11"", 500/Pk, White",BULK Copy Paper 500,1,"5"",White"
"Copy Paper, 20 Ib, 8.5"" x 11"", 80/Pk, Asst. Brights",Copy Paper Asst Brights,Multiple,"5"""
"ORM-D 1 -land Sanitizer, Gel, Pump, 8oz.",land Sanitizer Gel Pump,8ounce,
"Facial Tissue, 'Scotties', Hypo -Allergenic, 200 Ct."
"Paper Towels, Roll, Bounty, 2 Ply, 44 Sheets"
"BULK Wipes, Baby, 'Huggies', FF, Refill, 184 Ct."
"Storage Bags, Zipper, Sandwich, 50 Ct.",Storage Bags Zipper Sandwich,Multiple,
"Storage Bags, Economy Zip, Snack Size, 50 Ct."
"Storage Bags, Zipper, Gallon, 20 Ct.",Storage Bags Zipper Gallon,Multiple,
"Sheet Protectors, Letter Size, Clear, 10/Pk",Sheet Protectors Letter Size Clear,Multiple,
"Wipes, Disinfecting, Bleach Free, Lemon Scent, Cnstr, 35 Ct",Wipes Disinfecting Bleach Free Lemon Scent,35,Ct
"Free ""Money From Home"" Envelopes & Student ID Labels"
