Input,Product,Quantity,Tags
Schoo
6 Grede
P 8tlner-soldatregistration/office,office,1,
6 Spira i ned notebooks,notebooks,6,
6 Pocket fo tiers with 3 ho a punches,Pocket tiers,6,
"1,6 different co ors",different ors,1,
1
Bi nde r with metal rings (zipped is best)
Zipper penci pout'i - 3 -hole punched
Spira grap paper notebook,paper notebook,1,
3 Loose ea1' ined paper,Loose paper,3,
2 Loose iea1'grap h paper 1.1 to teacher;),Loose paper teacher,2,
Erasers (1 pkg. or 1 big one),Erasers,Multiple,pkg.
1 small plug. of Hig h l ig he rs,small plug,1,
Hand he d penci s larpenerwithacover,Hand,1,
Penci s —at least 24,least,24,
Pens at least 12,Pens least,12,
"1 bx Col ored pencils, crayons or marke rs",Col pencils crayons,1,bx
"1 Cleartape , N"
1 Glue stick or bottle,Glue stick,1,bottle
5 Pkgs. post -it notes IrSive to teacher;l
Earbuds,Earbuds,Multiple,
Optional
Calculator -1130 or higher,Calculator 1130 higher,1,
Water bottle,Water,1,bottle
Small scissors,Small scissors,Multiple,
Ruler- metri c and inches,Ruler and inches,Multiple,
