Input,Product,Quantity,Tags
6th -8 Grade
2017-2018 Supply List
1 box colored pencils,colored pencils,1,box
1 pencil sharpener,pencil sharpener,1,
8 glue sticks,glue sticks,8,
2 boxes 24 count pencils (No Mechanical please),pencils,2,boxes
4 composition books,composition books,4,
1 3 inch binder (to be -used for--ALL-academi.c._s!bjects),inch binder,1,
5 Folders w/ holes - fit in binder. 1 in each of the following colors,holes fit binder each the following colors,5,
"1 -blue, 1 -red, 1 -green, 1 -orange, 1 -purple",blue red green orange purple,1,
1 pencil pouch w/ holes - fit in binder,pencil holes fit binder,1,
1 pair of scissors,scissors,1,pair
1 protractor,protractor,1,
1 ftas ive- -Ga4
"1 calculator,",calculator,1,
1 5 subject spiral notebook for science,subject spiral notebook,1,
4 rolls of tape for class dispensers,tape,4,rolls
1 package of dry erase markers,dry erase markers,1,package
1 container of Lysol wipes,Lysol wipes,1,container
1 bottle of hand sanitizer,hand sanitizer,1,bottle
1 roll of paper towels,paper towels,1,roll
2 reams of 20 lb white copy paper,reams copy paper,2,white
2 erasers.,erasers,2,
Items to have and replace as needed:
"Pens: red, blue, and black",Pens red blue ,Multiple,black
College -rule notebook paper for binders
Graphing paper
Wipes,Wipes,Multiple,
Tissues,Tissues,Multiple,
