Input,Product,Quantity,Tags
"`l1, 1►1111%"
1
Item,Item,1,
"Hook h.o., (without wheels)",Hook,1,
1..1;t (t..lr1 c1
"1, ,,, 1 ont.1 ncr for Art Supplies"
"s:,,i,1'; l 1Idors with Bottom Pockets"
1l�.i n1;'1
1 :m 11 v Research,Research,1,
• ..'i1 .art
\i M -Colored- Health,Colored Health,1,
.1•11 Notebook (Math) optional,Notebook optional,1,
One subject notebook (any type) for Humanities,subject notebook,One,
1 One subject notebook (any type) Science,One subject notebook Science,1,
1 I Package of construction paper,construction paper,1,Package
4 p' Louse Leaf Paper for Folders/Homework,Louse Leaf Paper,4,
# 2 Pencils,Pencils,2,
Pink Erasers for Classwork,Erasers,Multiple,Pink
Pencil Sharpener with Case for Shavings,Pencil Sharpener,1,
t)ra.ving Pencil Set or 1 each of these Art
"Pencils. 411, 211, 2B, 4B",Pencils 411 211,4B,
1 Sharpener for Art Class,Sharpener,1,
