Input,Product,Quantity,Tags
the outside with Sharpie marker (Please do not send lunch in
"or, 1 1 inches thick with clear cover"
er
iSchool on 2nd Day,Day,1,
Please DO NOT label with your child's name.
i
Last Names L -Z,Last Names,Multiple,
0 (1) box of Crayola colored pencils,Crayola colored pencils,Multiple,box
"❑ (5) pads of Post -It notes (3""x3"" in size,",Post notes,5,"3"",pads"
"preferably not ""pop-up"")"
"❑ (1) package 9""x12"" Pacon Tru-Ray multi -colored",Ray multi colored,1,"9"",package"
construction paper,construction paper,1,
❑ (2) packages of pink erasers,erasers,Multiple,"packages,pink"
❑ (2) boxes of tissues,tissues,Multiple,boxes
❑ (2) rolls of paper towels,paper towels,Multiple,rolls
❑ (2) containers of wipes/wet ones for cleaning
hands during the day (unscented)
"❑ (1) package of thin, black Sharpies",thin Sharpies,Multiple,"package,black"
❑ (1) box of large Ziploc freezer bags,large Ziploc freezer bags,Multiple,box
❑ (2) packs of wide ruled loose leaf paper,pack wide ruled loose leaf paper,1,packs
❑ (1) pack of pastel index cards,pastel index cards,Multiple,pack
"- �, l 1 � 4-^k"
1 glue stick,glue stick,1,
