Input,Product,Quantity,Tags
Meiouc e e 1L2f r
�n�y
fts: Grac e 5u 77 _is-� 20'7--'8
Y
"Please 4bel,7iiitems with you,- child's 0.3ne."
• 15 small glue sticks (per semester),small glue sticks,15,
• 1 pair of -
• 2 boxes of 24 count crayons (per semester),crayons,2,boxes
• 1 box washable markers,washable markers,1,box
• 2 dozen #2 pencils (per semester),pencils,2,dozen
• art shirt/smock,art shirt smock,1,
• girls -liquid soap boys -disinfectant wipes
• 4 marble black & white composition notebooks,marble composition notebooks,4,"black,white"
• 1 large boxes oftissues (per semester),large,1,boxes
• safety scissors with metal blades,safety scissors,Multiple,
• 3 pink block erasers,block erasers,3,pink
• 1 small school pouch (not hai- ),small pouch,1,
• backpack — no wheels,backpack wheels,Multiple,
• 1 pkg. of expo dry erase markers,expo dry erase markers,1,pkg.
• 1 package of baby wipes,baby wipes,1,package
• Girls —1 box gallon size ziplock bags & plastic utensils,Girls size ziplock bags plastic utensils,Multiple,"box,gallon"
"• Boys —1 box sanc,wich size ziplock bags and paper plates",Boys size ziplock bags and paper plates,Multiple,box
"Wish List —anytime t a rout, lout t ne yearl",Wish anytime rout lout,1,
small novelty items — prizes for the treasure box,small novelty prizes,Multiple,box
reward stickers snack ziplock bags tissues yarn pony beats
magazines appropriate for school use
