Input,Product,Quantity,Tags
2017-2018
Middle School Basic School Supplies List,Middle Basic,1,
For School:
• 8- or 13 -pocket Accordion Folder - Fabric or Poly: (Example:,pocket Accordion Folder Fabric,8,
htth. // .table. corn/ Pendant. I? I'tk��t i \p.u3�Imb llh Fabric Fllr Black
I t•tier-tilt./product_440719),tier tilt,1,
"• 5 Two -pocket Folders - One of each color: Red, Orange, Yellow, Green and Blue",Two pocket Folders One each color Red Orange Yellow ,5,"Green,Blue"
"• Bound (sewn, not spiral) graph paper notebook, 4sglinch recommended - for math"
notes,notes,Multiple,
"• Composition Notebook (hard cover, 100 sheet, 9 1 x 7 1 in.) - for science class",Composition Notebook,1,1 x 7
• Protractor and ruler (for home and school use),Protractor and ruler,1,
• Calculator (basic model - for home and school use),Calculator,1,
• Pens and pencils,Pens and pencils,Multiple,
• Pencil case,Pencil case,1,
• Eraser,Eraser,1,
For Home:
• Pad of graph paper - 4 sq./inch,Pad graph paper inch,1,
• Composition Loose-leaf notebook paper (for home and school use),Composition Loose leaf notebook paper,1,
• Index cards,Index cards,Multiple,
• Typical assortment of desk supplies,Typical assortment desk,1,
Teachers will work with students during the opening days of school to get their folders set
up. We have done this with the intention of teaching students how to utilize these tools to
"""stay organized,"" an essential skill."
"63; Froytown Road New Canaan, CT 06840 (203) 972-0771 • www countryschool.net",Road New Canaan 06840 972 0771 net,63,CT
.
