Input,Product,Quantity,Tags
THIRD GRADE
"1 12"" wooden ruler (Inch/Centimeters) 1 spiral wide rule notebook — 70 pgs",wooden ruler spiral wide rule notebook,1,"12"""
2 dozen #2 pencils (Ticonderoga suggested) 3 large glue sticks,pencils large glue sticks,2,dozen
24 pack crayons 4 large erasers OR 1 box pencil top erasers,crayons large erasers pencil top erasers,24,"pack,box"
1 pair pointed scissors 1 pack markers (10 count),pointed scissors markers,1,"pair,pack"
5 bottom pocket plain color folders w/prongs 1 yellow highlighter,bottom pocket plain color prongs highlighter,5,yellow
1 school supply box (standard size) 2 large boxes facial tissues,large facial tissues,1,"box,boxes"
1 composition notebook Girls only — quart size storage bags,composition notebook Girls only quart size storage bags,1,
8 black dry erase marker -wide tip Boys only — gallon size storage bags,dry erase marker wide tip Boys only size storage bags,8,"black,gallon"
"Wish List: Hand sanitizer, disinfectant wipes, index cards, post -it notes, paper towels"
